"source_file","source_path","category","keywords","key_phrases","snippet","confidence"
"102706676.txt","./copied_originals/CONTR","CONTR","menos, término, principal, artículo, gusto, lectura","este artículo propone; proponemos","En una ciencia donde las definiciones deben ser estrictas, rigurosas y objetivas tal vez se echen en falta los recursos literarios. Sirva de ejemplo la frase que introduce este artículo. Para motivar una campaña solidaria, los científicos propusimos: La riqueza se la reparte sólo el diez por ciento de la población. El eslogan que nos regaló nuestro amigo profesor de Lengua y Literatura nos superó con creces. Menos mal. Es universal a todas las asignaturas que el alumno adquiera una buena comprensión lectora, que se exprese correctamente, que no cometa faltas de ortografía, que cuide la presentación y que descubra el gusto por la lectura. Desde las matemáticas también? En este artículo proponemos cuatro ideas para que desde la clase de matemáticas le echemos un guiño mejor que un cable al gusto por la lectura, la expresión verbal y escrita y la creatividad artística. O al menos lo intentaremos. Tabú matemáticoEstá basado en el conocido juego de mesa y presentamos esta ligera modificación para los términos matemáticos. Formamos grupos reducidos de al menos dos jugadores. En una primera fase se completan las tarjetas aunque se pueden elaborar previamente sin el conocimiento de los jugadores. En cada una de ellas aparecerá un término matemático principal y cuatro prohibidos que generalmente tengan que ser utilizados para la definición del término principal. En la segunda fase, un jugador escoge al azar una tarjeta de otro equipo y tiene que conseguir, en un tiempo limitado, que los demás miembros de su equipo adivinen el término principal sin poder utilizar ninguno de los términos prohibidos.","high"
"133028321.txt","./copied_originals/CONTR","CONTR","legislativo, pago, meses, empresas, superintendencia, decreto","presentamos; sin precedentes en; sin precedentes","A continuación le presentamos una serie de opiniones a las cuales le agradeceré nos responda con total sinceridad marcando con un aspa en la alternativa que considere exprese mejor su punto de vista. 158 Apéndice 2: Facilidades y Beneficios para Mypes, para hacer frente a su recuperación por la crisis ocasionada por la pandemia. Fuente: Ministerio de Economía y Finanzas Elaboración propia Prórroga de la declaración y el pago mensual de impuestos correspondientes a los meses de febrero hasta agosto 2020 ypPrórroga de hasta 4 meses de la DJ Anual y pago del IR 2019. Liberación anticipada y flexibilización de detracciones, para que las empresas dispongan de sus saldos acumulados hasta el 15 de marzo. Prórroga del pago de fraccionamientos de las deudas tributarias que venzan durante el estado de emergencia. Reducción de la tasa de interés moratorio. Medidas TributariasBase legal: Resolución de Superintendencia N 099-2020SUNATResolución de Superintendencia N 067-2020SUNATResolución de Superintendencia N 066-2020SUNATEl Programa de Garantías del Gobierno Nacional Reactiva Perú, creado mediante Decreto Legislativo 1455, y modificado mediante Decreto Legislativo 1457, es un programa sin precedentes en nuestro país, que tiene como objetivo dar una respuesta rápida y efectiva a las necesidades de liquidez que enfrentan las empresas ante el impacto del COVID-19. Busca asegurar la continuidad en la cadena de pagos, a fin de que puedan acceder a créditos de capital de trabajo, y puedan cumplir de esta manera con sus obligaciones de corto plazo con sus trabajadores y proveedores de bienes y servicios. Reactiva PerúBase Legal: Decreto Legislativo 1455Decreto Legislativo 1485Decreto Supremo 124-2020-EFFondo estatal creado para garantizar créditos de capital de trabajo para las micro y pequeñas empresas Mypes de todos los sectores productivos, con plazos de 3 años y un período de gracia de hasta 12 meses, canalizados a través de las entidades del sistema financiero y las cooperativas de ahorro y crédito COOPAC.","high"
"145143553.txt","./copied_originals/CONTR","CONTR","cuenca, parroquia, universidad, investigación, mujeres, sinincay","la presente investigación analiza; de forma novedosa; solucionan","Bajo estos contextos, la innovación social busca mejorar aquellas necesidades sociales y ambientales que un Estado o mercado no puede lograr, entre ellas, las de los sujetos más vulnerables. Según León et al. 2012: 41 se trata de innovaciones que solucionan problemas sociales de forma novedosa, eficaz, eficiente, sostenible, participativa e incluso, cocreativa, lo cual está en sintonía con la filosofía del deber-ser socialmente responsable. La presente investigación analiza experiencias de innovación social en mujeres comerciantes informales de la parroquia Sinincay, cantón Cuenca, Ecuador; se deriva del Proyecto de investigación ejecutado por la Universidad Católica de Cuenca junto con la Corporación Ecuatoriana para el Desarrollo de la Investigación y la Academia CEDIA, la Universidad de Cuenca, la Universidad Técnica de Manabí y la Universidad Politécnica de Valencia. La parroquia Sinincay, ubicada al sur del Ecuador, cuenta con una población de 505 585 habitantes, de los cuales 266 088 son mujeres y 239 497 hombres. Según el Instituto Nacional de Estadísticas y Censos de Ecuador 2021, la parroquia ostenta una población económicamente activa de 200 082 habitantes. El comercio informal se inserta de manera ilícita en los mercados como vía de mantenimiento. Existen alrededor de 3 000 personas en Cuenca que viven o subsisten del comercio informal, de estas el 70 aproximadamente son de género femenino Machado, 2016. METODOLOGÍA A partir del paradigma socio-crítico y de un enfoque mixto, el presente estudio asumió una perspectiva no experimental transversal que permitió obtener información sobre las variables: edad, estado civil, nivel de ingresos y nivel de educación de las mujeres comerciantes informales de la parroquia Sinincay, cantón Cuenca, en el año 2022.","high"
"148765578.txt","./copied_originals/CONTR","CONTR","movilidad, ciudad, trujillo, urbana, comunicación, desarrollo","el presente documento describe","INTRODUCCIÓN En la ciudad de Trujillo se ha presenciado en las últimas décadas un sistema de movilidad que perjudica la seguridad del peatón y el tiempo que recorre diariamente al desplazarse de un lugar a otro. Se tiene en cuenta que existe un gran incremento del parque automotor en la ciudad y la aplicación del actual modelo de movilidad urbana constituye un problema para la salud, la economía, el ambiente, el congestionamiento vehicular, entre otros. Por esta razón, los elementos transversales obtenidos de las experiencias de comunicación participativa, son relevantes para el desarrollo de un plan que promueva la movilidad urbana sostenible a través de estrategias y acciones de comunicación que promocionen la movilidad peatonal, la movilidad en bicicleta y la movilidad en transporte público. En este sentido, es necesaria una política de planificación estratégica, contemplando una visión a corto y largo plazo, para el proceso de planificación del modelo de movilidad urbana sostenible, respaldado por la cooperación de la municipalidad provincial de Trujillo y la participación activa de los ciudadanos. El PMUS, se caracteriza por promover la integración de temas como la protección del medio ambiente, el cuidado de la salud, la inestabilidad de la economía respecto a los medios de transporte público y privado, la seguridad vial y el desarrollo urbano. Por ello, el presente documento describe una programación estima de implementación y proceso de desarrollo del PMUS, para la ciudad de Trujillo. II. REALIDAD PROBLEMÁTICA Los ciudadanos a través de sus experiencias en comunicación participativa, hacen visible las carencias que existen respecto a la actual infraestructura de la ciudad de Trujillo.","high"
"152361000.txt","./copied_originals/CONTR","CONTR","gramatical, información, cuenta, gramática, discurso, carácter","construimos; nuestra propuesta","Por su carácter introductorio, esta temática ocupó parte del primer encuentro. Por otro lado, el curso sobre el abordaje gramatical se inscribe especialmente en uno de los ejes de trabajo formulados por la Red NEIES, Didáctica y Metodología, aunque mantiene estrechas relaciones con los otros dos, interculturalidad y Tecnologías de la Información y la Comunicación. En cuanto al eje metodológico-didáctico, resulta de la consideración de propuestas de trabajo con la información gramatical. Es importante señalar que suele identificarse la formación y la información gramatical con el sistema gramatical de la construcción oracional. Suelen plantearse dicotómicamente el sistema y el uso, a pesar de que en la enseñanza de español como segunda lengua se contemplan fases y abordajes que tienen en cuenta ambos factores. En nuestra propuesta, he articulado gramática y discurso, planteando una serie de etapas que permitirían el análisis crítico de los discursos, tanto en sus instancias de comprensión como de producción. Un aspecto, que considero innovador, reside en que en esta propuesta se articula la información gramatical en el discurso periodístico que nos conduce al pensamiento crítico y a las representaciones sociales que circulan en las distintas sociedades y comunidades lingüísticas. De este modo, procuro dar cuenta del componente duro lingüístico tal como ha sido formulado en diversas teorías gramaticales, para posteriormente, acceder al carácter de la gramática como dispositivo a través del cual construimos e interpretamos los eventos. En síntesis, si la gramática construye los significados, considerar el discurso periodístico nos conduce a tener en cuenta cómo, a través de las elecciones gramaticales, la sociedad expresa los diferentes sistemas de creencias.","high"
"161211408.txt","./copied_originals/CONTR","CONTR","investigación, productos, social, presenta, resultados, lugar","el presente artículo presenta","11. 23Se permite y alienta la copia y utilización de todos los contenidos de este sitio web bajo los términos de una licencia Creative Commons BY-NC-SA 3. 0Año 7 Nro. 14 - Dic. 20231. El presente artículo presenta resultados preliminares del proyecto PIUBAS20220401 La Universidad como lugar de integración de saberes. Investigar, comunicar y transformar bajo la dirección de la Dra. Adriana Clemente. Cuestión Urbana - Año 7 Nro. 14 - Dic. 202320SECCIÓN DossierResumenPara el análisis de los procesos de producción y uso de conocimiento, el bagaje analítico que ofrece una caracterización de productos resulta particularmente inadecuado: poca literatura problematiza o explora caracterizaciones de productos de la investigación que permitan reconocer, medir, categorizar y jerarquizar aquellos orientados al uso -en particular en ciencias sociales-. En este trabajo -partiendo de una primera indagación de base empírica- damos cuenta de algunos de los posibles productos de la investigación social haciendo foco en el proceso reflexivo desplegado por los propios investigadores para llevar adelante la producción de conocimiento intentando echar luz sobre esos procesos y sus características. El trabajo se ordena en tres secciones: en primer lugar, se problematizan la noción de resultadosproductos de investigación, una segunda sección recupera los emergentes de la indagación empírica y finalmente la última sección presenta una caracterización de los productos de inves-tigación para luego discutir los desafíos y líneas de investigación a futuro. Palabras Clave: Investigación social; productos; resultados de investigación. SummaryFor the analysis of knowledge production and use processes, the analytical background offered by a product characterization is particularly inadequate: little literature problematizes or explores characterizations of research products to recognize, measure, categorize and hierarchize those oriented to use in social sciences.","high"
"275736554.txt","./copied_originals/CONTR","CONTR","argumentatividad, sección, cómo, medirla, adultos, discusión","este trabajo ofrece; ofrecemos; hallazgos principales","En otras palabras, este trabajo ofrece una discusión para discernir qué es la argumentatividad y cómo podemos medirla. Nuestro objetivo fue analizar exploratoriamente el comportamiento argumentativo de dos grupos de hablantes adultos mayores y adultos jóvenes universitarios, respectivamente, considerando específicamente el comportamiento lingüístico manifestado por las personas ante un estímulo argumentativo contenido en una entrevista semiestructurada. El artículo avanza siguiendo el siguiente orden: en la sección Argumentatividad: Qué es y cómo medirla, ofrecemos un panorama de lo que puede considerarse componentes de un concepto de argumentatividad, componentes que provienen de reflexiones en áreas disciplinarias distintas pero emparentadas, culminando esta sección con una propuesta teórica; en la sección Metodología, detallamos los aspectos metodológicos del estudio empírico que realizamos para observar el rendimiento de la propuesta teórica diseñada, en este caso analizando la argumentatividad en adultos mayores chilenos; en la sección Hallazgos y discusión, presentamos los hallazgos principales y su discusión; y ya en las conclusiones, indicamos algunas líneas de desarrollo futuro que podrían fortalecer la conceptualización y el estudio empírico de lo que denominamos argumentatividad. Argumentatividad: qué es y cómo medirla. El caso en el discurso de adultos mayores y jóvenes... 279 Argumentatividad: qué es y cómo medirla En esta sección ofrecemos una revisión de la literatura sobre el tema que abordamos y que entrega un contexto conceptual elemental que ayuda a estructurar el término de argumentatividad. Nuestra revisión comienza con algunos elementos provenientes de la psicología del razonamiento; luego continúa con la teoría económica de la argumentatividad; y finalmente revisamos los aportes de la teoría de los marcos argumentativos.","high"
"45989612.txt","./copied_originals/CONTR","CONTR","emocional, inteligencia, intervención, organizacional, desarrollo, socialización","el presente estudio propone; proponemos","- 2 - MÁSTER UNIVERSITARIO DE PSICOLOGÍA DEL TRABAJO, DE LAS ORGANIZACIONES Y EN RECURSOS HUMANOS Facultad de Ciencias de la Salud Trabajo Final de Máster Propuesta de Intervención Organizacional: INTELIGENCIA EMOCIONAL PARA EL DESARROLLO DE UNA SOCIALIZACIÓN ORGANIZACIONAL DE CALIDAD Tutora: Eva Ferrando Daufi Autora: Stephany Riveros Martínez Y6548614E al386429uji.es 5 de julio de 2019 - 3 - RESUMEN Desde el presente estudio proponemos una intervención que tiene el propósito de validar la efectividad del programa RULER basado en Inteligencia Emocional con relación al proceso de Socialización Organizacional. Para ello, los niveles de habilidades emocionales y las percepciones de los participantes frente al proceso de socialización han sido medidos previa y posteriormente a la intervención, lo que permitirá analizar la correlación resultante entre las variables de ambos constructos y generar puentes de beneficio mutuo. El estudio será realizado en una multinacional bancaria del sector servicios. Los instrumentos de medición que se usarán son el MSCEIT, desarrollado por Mayer, Salovey y Caruso 2002, para la Inteligencia Emocional, y el OSI de Taormina 1994. Una de las hipótesis que se contempla es que el desarrollo de las habilidades en Inteligencia Emocional faciliten el proceso de adaptación de los nuevos miembros de la organización, permitiendo así la reducción de percepciones erróneas yo negativas frente al nuevo entorno y que de esta forma puedan integrarse más rápidamente. También se reducirían los niveles de ansiedad mediante el desarrollo de la regulación emocional y, a su vez, al ser dotados con otras herramientas de uso emocional, los participantes podrán mantenerse motivados, tener un buen clima laboral, saber gestionar los conflictos, dar y obtener apoyo social, desarrollar mayores niveles de empatía y cambio de perspectiva y sofisticar su vocabulario emocional.","high"
"129327784.txt","./copied_originals/CONTR","CONTR","deserción, aprendices, estudio, diseño, sistema, propone","se propone una; los resultados evidencian que","2 La metodología implementada para este estudio es un diseño metodológico de tipo descriptivo-explicativo, pues se busca reconocer cuál es el perfil de los estudiantes desertores reportados por la plataforma Spadies y que corresponden a carreras técnicas y tecnológicas, que además están tipificados en el sistema de acuerdo con el carácter de la Institución de Educación Superior El autor propone renovar estrategias que sean adecuadas con las nuevas necesidades del sistema educativo y del mercado laboral. Los resultados evidencian que, a pesar de los beneficios a nivel académico y económico de la modalidad técnica, esta tiene altas tasas de deserción, incluso muy por encima de la modalidad tecnológica. Por lo tanto, es necesario analizar otras estrategias, teniendo en cuenta que sus condiciones y comportamiento de la deserción son diferentes. BILO Vol. 4 No. 2, Julio-Diciembre. 2022 The author; licensee Universidad de la Costa - CUC. BILO vol. 4. No. 2. Julio-Diciemmbre, 2022 Barranquilla. ISSN Online 2711-3280 7 La investigación se realizó con el método deductivo ya que a través de los diferentes fenómenos se propone una hipótesis como consecuencia de inferencias a partir de la hipótesis y luego se comprueba experimentalmente, dentro de la investigación a desarrollar se parte de diagnóstico y se realiza un análisis del mismo a través de un estudio de campo que permita tener resultados que conlleven al planteamiento del diseño de indicadores para minimizar la deserción estudiantil en CTPI SENA Regional Cauca. Haciendo seguimiento a esta estadística se logra identificar que en la medida en que se incrementa el número de aprendices para cada vigencia proporcionalmente hay un aumento en los índices de deserción, particularmente en el año 2015, teniendo en cuenta los aprendices matriculados y aprendices desertados.","high"
"148765352.txt","./copied_originals/CONTR","CONTR","paciente, estrategia, toma, salud, tratamiento, adherencia","el presente estudio analiza; se presenta una","Por otra parte, se debe reconocer que en la estrategia de TBC se estaría manejando de forma eficiente el control y seguimiento para la toma de medicamentos del paciente, indistintamente del estado emocional o psicológico que esté pasando, esto se debe a que en cada uno de los centros y puestos de salud pertenecientes a la estrategia, el personal de salud se encarga de suministrar directamente el medicamento para su toma in situ a cada paciente, indistintamente del esquema que se encuentren recibiendo, además el monitoreo continuo y en tiempo real a los pacientes de tuberculosis; Sáenz 2018 sostuvo que si existe una adecuada vigilancia del factor de tratamiento será posible lograr una adecuada adherencia, es decir, que a pesar de tener pacientes que tienen indicadores moderados o severos de desesperanza están adhiriéndose correctamente a sus tratamientos farmacológicos gracias a la gestión que está manejando la estrategia de TBC. Teóricamente, el punto de convergencia en el presente estudio analiza el principio de autoeficacia de Bandura 1997 que dentro de la gestión de los servicios de salud toma a dos partes involucradas, primero, el paciente con suficiente o al menos una base sólida respecto del compromiso con el cumplimiento del tratamiento farmacológico, y segundo, la organización de la estrategia de TBC que a través de su planificación, seguimiento, y ordenamiento logra afirmar la autoeficacia del paciente, es decir, lo involucra a tal nivel que el paciente adopta la postura que fue parte de él mismo el logro de la adherencia, asimismo la indefensión aprendida como punto angular de la desesperanza de vida estaría quedando relegada por una autogestión del paciente, orientada a acciones concretas en coordinación y participación activa con la estrategia de TBC, no obstante, encontrar que un 13, 7 de los encuestados presente niveles moderados de desesperanza; requiere una intervención psicológica inmediata; lo cual es algo que bien ha sucedido en diversos estudios cuando se presenta una enfermedad que demanda un cambio radical en los estilos de vida, o que genera incertidumbre sobre la experiencia de vida futura del paciente y que genera complicaciones en la adherencia al tratamiento farmacológico Rodríguez, 2019; Rouf et al., 2021; Ruiz et al., 2020; Yang et al., 2018.","high"
