"source_file","source_path","category","keywords","key_phrases","snippet","confidence"
"158052195.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","gestión, investigación, talento, institución, social, colaboradores, organizacional, colaborador","talento humano; educación superior; función a la necesidad; la información relevante; el clima organizacional","Social: La investigación en función a la necesidad que se tiene de analizar y evaluar la información relevante y fuentes primarias que permitan conocer cómo la mejora la gestión del talento humano enfocada en el clima organizacional dentro de una institución de educación superior beneficia no solo a la empresa y sus colaboradores sino a estudiantes, ya que al mejorar los procesos de gestión de personas se alcanzan los objetivos organizacionales, competitividad en el sector educativo y permanencia en el mercado. Teórica: Correlación de las variables gestión del talento y el clima organizacional según los autores Chiavenato 2020 y Koontz 2022, ya que permite identificar cómo una variable es vinculante una de la otra. 4.2 Limitaciones Para la investigación se encontraron ciertas restricciones para el desarrollo de la investigación se contó con el permiso de la Gerencia de Gestión Humana para las facilidades en el cuestionario hacia los colaboradores, así mismo se contó con la participación y colaboración de algunos de los docentes y colaboradores administrativos a tiempo completo para el cuestionario de dicha institución de educación superior privada. Sin embargo, la 6 institución solicitó la confidencialidad de su razón social y marca en el presente trabajo de investigación. 7 CAPÍTULO II MARCO TEÓRICO -CONCEPTUAL 1. Antecedentes de la investigación 1.1 Antecedentes Internacionales Antecedente Internacional 1: Jaramillo y Silva 2022 en el artículo La gestión del talento humano y la productividad académica en un instituto universitario. Tuvo como objetivo analizar la conexión que existe entre la gestión del talento y la productividad académica en el Instituto Público Universitario de Tecnología de Cabimas, Venezuela.","high"
"158064120.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","villalobos, gregorio, españa, tampico, bovinos, ganado, cuba, nueva","gregorio de villalobos; andrés perezgrovas; gregoriode villalobos; los diferentes textos académicos; la información documental","A07Raúl Andrés Perezgrovas GarzaPROBANZA DE MÉRITOS Y SERVICIOS DE GREGORIODE VILLALOBOS, PRIMER INTRODUCTOR DE BOVINOS EN NUEVA ESPAÑA, EN 1521 Introducción Los diferentes textos académicos mencionan de manera muy breve que Gregorio de Villalobos fue la primera persona que trajo ganado bovino al territorio de la Nueva España, lo que sucedió en 1521, cuando desembarcó en Tampico, en Pánuco o en la Villa Rica de la Vera Cruz con un cargamento de bovinos que había traído desde algún puerto en Las Antillas, entre los que se mencionan: Cuba, Jamaica, Puerto Rico o La Española. Sin embargo, la información documental sobre la vida y la obra de Gregorio de Villalobos es muy reducida y lo que existe se encuentra disperso en varios documentos en México, España y los Estados Unidos. El doctor Jorge De Alba Martínez, en su libro póstumo sobre los Bovinos Criollos de América, hizo una referencia directa a Villalobos, mencionando que en 1521, Gregorio Villalobos llega con una nave y ganado a Tampico, procedente de Puerto Rico De Alba, 2011:4. Lo anterior solo abona a la confusión existente sobre esas primeras reses llegadas a la Nueva España, pues la llegada de bovinos a Tampico fue en 1527, a cargo de Beltrán Nuño de Guzmán, entonces Gobernador de Pánuco, mientras que el viaje de Gregorio de Villalobos se realizó seis años antes Doolittle, 1987:4; para complicar más el asunto, el historiador Donald D. Brand 1961:132 refiere que Villalobos salió de Cuba. Se puede apreciar que las referencias sobre Gregorio de Villalobos como introductor de ganado son vagas y confusas, por decir lo menos; así, unas páginas adelante en su libro, el Dr. De Alba hace alusión a un texto del autor norteamericano Charles Hackett1 publicado a principios del siglo XX, quien al parecer reproduce 1.","high"
"158172083.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","película, cantidad, análisis, argentina, películas, cualitativo, cine, diamond","diamond films; mundo estrenada en el año 2018; cine independiente; un enfoque mixto; cuanto a cantidad de asistentes","Se analizó la película Todo el dinero del mundo estrenada en el año 2018 por la distribuidora de cine independiente Diamond Films en Argentina, en comparación todas las películas estrenadas comercialmente en la misma fecha. El caso se abordará desde un enfoque mixto cualitativo y cuantitativo. Desde el punto de vista cuantitativo se realizará una encuesta para entender por qué medio los espectadores descubrieron la película y que los incentivó a tomar la decisión. Además, se analizarán resultados de las películas en cuanto a cantidad de asistentes y cantidad de comentarios realizados en Twitter. La intención de esta investigación no fue medir la correlación entre el boca a boca digital y los resultados de taquilla con rigor de inferencia estadística, sino realizar una caracterización descriptiva y cualitativa de las películas del análisis, complementando estudios anteriores, con el análisis en profundidad de una cohorte pequeña y representativa local. Se llevó adelante un análisis de Thick Data: información que proviene de métodos cualitativos de investigación etnográfica que descubren emociones, historias y modelos de un determinado grupo o lugar. El enfoque Thick Data es la mejor manera de mapear un territorio desconocido porque el acto de recopilar y analizar historias produce ideas Medium, 2016 El alcance de los objetivos será exploratorio y descriptivo debido a que aún no hay 37 mucho investigado al respecto de este tema en Argentina. El tipo de diseño del trabajo es empírico y transversal es decir, sólo se trabajará sobre las variables en un período de tiempo determinado desde la fecha de estreno hasta el fin del primer fin de semana. Además, por un lado se utilizarán fuentes primarias: encuestas; y por otro lado, se utilizarán fuentes secundarias como por ejemplo estadísticas de Google, Ultracine y de IBOE sistema de métricas de Comscore donde es posible ver la recaudación en taquilla y cantidad de asistentes por cine, e información de Diamond Films.","high"
"158646564.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","serie, cuarta, planta, laboratorio, plantas, tercera, hoja, hojas","cuarta serie; estos cultivos repetidos dos veces; efecto nocivo; los vegetales jóvenes; química analítica","Algunas plantas parecían muertas al fin de la tercera semana4 Plant . compl . 0.7729 0.0642 0.7087J160Fig. 12. Cuarta serie : hojas Fig. 13. Cuarta serie : raíces161QUINTA SER IENo hacemos constar aquí los resultados de estos cultivos repetidos dos veces, sino con el propósito de presentar una comprobación del efecto nocivo de los gases de laboratorio sobre los vegetales jóvenes. Por hallarse libre el laboratorio de química analítica del Museo se hicieron las siembras el 12 de noviembre de 1910 y el 23 de enero de 1911 realizamos en él estas experiencias con soluciones de nitrato de uranilo en proporciones mayores que las empleadas en el líquido 4 de la primera serie. Pero bien pronto pudimos observar, no sólo que los efectos eran contrarios á los anotados en aquella ocasión, sino que también, el líquido tipo proporcionaba plantas raquíticas, debiendo suspender el trabajo á la tercera semana, pues el estado de las hojas no hubiese permitido seguir adelante. El aire ambiente impurificado por substancias diversas, algunas en proporciones infinitesimales, se mostró contrario al desarrollo de las plantas jóvenes, comprobándose en este caso lo observado por diversos autores que han experimentado en la atmósfera de los laboratorios químicos, debiendo atribuirse esta acción á los productos de la combustión del gas de alumbrado ó á vestigios de este mismo gas 1 y quizá al óxido de carbono como resultaría de los recientes estudios del profesor Mo- lisch de Praga 2.1 Revue genérale des Sciences, XXII, 144. París, 1911. Anzeiger der k. Akad.","medium"
"159780323.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","política, gobierno, ciudad, administración, turístico, sector, gobiernos, centrales","mar del plata; un gobierno militar; las directivas emanadas por los gobiernos centrales; su política turística; un importante apoyo","Aunque su administración se enmarcaba en un gobierno militar que debía responder a las directivas emanadas por los gobiernos centrales, su política turística se fue construyendo con un importante apoyo del sector privado de las fuerzas vivas locales más que con el aporte de Provincia y Nación. Sin embargo, se trató de una articulación intersectorial selecta que se circunscribió a un círculo acotado de actores socioeconómicos. Esa aspiración inicial de un gobierno de puertas abiertas, al finalizar su gestión parecía haber quedado solo en el plano discursivo. En sí, la concreción de planes promocionales y proyectos turísticos fue posible merced al trabajo conjunto y acciones coordinadas entre el ente autárquico y el sector empresarial, algunos de los cuales mantienen su vigencia hasta nuestros días. No obstante, otros sectores más amplios de la sociedad local con menor poder, como el caso de los residentes, quedaron relegados en la participación de acciones emprendidas por el organismo de turismo. Con los gobiernos centrales, y especialmente con la administración nacional, la articulación interinstitucional se caracterizó por ser limitada. Esto terminó generando situaciones desventajosas y fueron en detrimento del desarrollo turístico de la ciudad. Sumado a ello, la falta de inversión para la modernización y el mantenimiento de la infraestructura turística traslucía una postura que tendía a la exclusión de Mar del Plata dentro de la política de turismo internacional del país y a la que la ciudad feliz aspiraba integrar afanosamente. Bibliografía Álvarez, A. , y Reynoso, D. 1999. Política económica en Mar del Plata, 1946-1996. UCIP. Amplia promoción de la ciudad en países sudamericanos. 6 de agosto de 1969.","high"
"159956842.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","intervención, grupo, terapia, animales, animal, experimental, estudio, programa","conductas violentas; , como terapia convencional; centro penitenciario; grupo experimental; estudio experimental","En el primer grupo, se llevó a cabo el programa de intervención en conductas violentas, como terapia convencional del centro penitenciario. Y en el caso del grupo experimental, además de esta última mencionada, también se realizó la terapia con perros. La duración del estudio experimental fue de tres meses, con sesiones semanales de una hora, donde se realizaron actividades de adiestramiento básicas. Para medir el impacto de la terapia asistida con animales, se utilizaron la escala TECA Test de Empatía Cognitiva y Afectiva, y el test de impulsividad de Barratt, que fueron rellenados por los participantes de ambos grupos antes de comenzar la intervención y al finalizarla. El análisis de los resultados mostró datos estadísticamente significativos, así como aspectos importantes a considerar para futuras investigaciones. Dadas las dificultades surgidas durante la realización del estudio, el tamaño de la muestra se destaca como un limitante importante a tener en cuenta en esta investigación. Palabras clave: IAA, habilidades sociales, cárcel, presos, programas de animales en cárceles. Universidad Internacional de Andalucía, 20244 1. INTRODUCCIÓN 1.1. La Intervención Asistida con Animales. Desde la antigüedad los seres humanos tenemos un vínculo con los animales, que se ha visto extrapolado en diversas culturas del mundo. Encontramos una prueba de ello en la sociedad de la Grecia clásica, donde los médicos se valían de la equitación para aliviar patologías físicas y aumentar la autoestima de los pacientes Lantero-Moreno, 2018. Sin embargo, no es hasta el año 1792, con el doctor William Tuke, que se pone en práctica la asistencia de los animales como un tratamiento alternativo. Utilizando este tipo de intervención con la finalidad de aumentar el autocontrol de personas con enfermedad mental Edney, 1995.","high"
"160210719.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","demencia, aplicación, artículo, artículos, necesidad, seleccionado, seleccionados, limitación","los artículos seleccionados; una correcta valoración; las principales herramientas disponibles; otro aspecto positivo; las herramientas indicadas previamente","En este sentido se subraya la necesidad de realizar una correcta valoración y un buen manejo del dolor poniendo de manifiesto las principales herramientas disponibles. Asimismo, otro aspecto positivo de este estudio es que los artículos seleccionados presentan gran evidencia tras ser evaluados con las herramientas indicadas previamente. Todos ellos cumplen con más de la mitad de los ítems que indican las diferentes guías y la media del grado de evidencia se establece en un 80. Esto demuestra que los artículos seleccionados para el desarrollo de este trabajo poseen elevada calidad metodológica. 7.2 LIMITACIONES Frente a las fortalezas, una de las principales limitaciones que se ha encontrado a la hora de realizar la revisión es la escasez de artículos centrados en cada escala y que expliquen de forma detallada la composición y su aplicación. Además, otra dificultad es la falta de datos sobre la aplicación de tratamientos no farmacológicos, que apunten cuál es viable en cada situación o tipo de demencia, pues la mayoría se centran en la farmacología. De igual forma, otra limitación es la falta de estudios enfocados a los distintos tipos de demencia, ya que la mayoría de los artículos se centran en la EA o utilizan el término demencia indistintamente para referirse a esta, dejando al margen la DV, la DCL o DFT, entre otras. Finalmente, esta revisión demuestra la necesidad de investigación sobre el dolor en personas con demencia ya que muchos de los artículos seleccionados no han podido responder a las cuestiones planteadas. 7.2 APLICACIÓN A LA PRÁCTICA CLÍNICA La demencia es una enfermedad neurodegenerativa común entre la población adulta. Por lo tanto, es frecuente encontrar personas con esta patología en residencias de ancianos y unidades de hospitalización.","high"
"161211408.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","investigación, validación, producto, caracterización, productos, mecanismo, parte, ciencia","una caracterización exploratoria; nomenclaturas ajustadas a las condiciones de producción y uso de los resultados de investigación para productos y resultados de investigación que no se encuadran dentro de los outputs clásicos y -por lo tanto- ca-recen de indicadores de medición comprehensiva; la dimensión epistémica; fuera de la caracterización presentada; las ciencias sociales","Como se dijo, la valoración por parte de los otros de la investigación aparece como mecanismo de validación de estos productos, sin embargo, que-da aún un camino por recorrer para que esta vali-dación devenga en legítima por parte de la comu-nidad de pares. DiscusiónSobre los productos de investigación, presenta-mos una caracterización exploratoria -de base empírica- que reconoce y propone nomenclaturas ajustadas a las condiciones de producción y uso de los resultados de investigación para productos y resultados de investigación que no se encuadran dentro de los outputs clásicos y -por lo tanto- ca-recen de indicadores de medición comprehensiva. No fue objeto de este trabajo ahondar sobre la dimensión epistémica de los productos de investi-gación por fuera de la caracterización presentada. Al respecto, está iniciada y se espera contribuir en el futuro a problematizar la naturaleza epistemo-lógica de estos productos de investigación y de sus mecanismos de validación por parte de los otros agentes extra-académicos. Tarea que, por cierto, no puede sino hacerse incluyendo las vo-ces de estos agentes en la indagación. Como sostuvimos en otros trabajos Clemente et al, 2021; Alonso, 2021, existe una marcada desco-nexión entre las dinámicas de producción de cono-cimiento de las ciencias sociales y los instrumentos de gobernanza en la política pública en ciencia y tecnología, de modo que se espera que el análisis presentado pueda contribuir a diseñar instrumentos orientados desde y para las ciencias sociales. Una vez más decimos, entonces, que problemati-zar la contribución de la investigación a la socie-dad que la financia y contiene no puede quedar resumido exclusivamente al relevamiento de pro-ductos tecnológicos y que la transferencia, vincula-ción yo movilización del conocimiento producido por la investigación requiere de una problematiza-ción más comprensiva de parte de la comunidad académica toda en lo que refiere a identificar no solamente sus características, dinámicas y produc-tos, sino también a los mecanismos de medición y asignación de valor a la hora de evaluar las tra-yectorias de investigación y los procesos de asig-nación de recursos.","high"
"161265127.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","hito, alta, proyecto, sustentación, objetivo, evaluación, modelo, desempeño","los diversos conceptos; las organizaciones lineales y matriciales; el modelo propuesto; una solución tecnológica; estructuras lineales y matriciales","Analizar los diferentes conceptos, términos e indicadores empleados en los procesos de evaluación del desempeño. Diseño del proceso de evaluación del desempeño. Documentación de la investigación de los diversos conceptos y modelos de evaluación de desempeño. 15 Documentación del desarrollo de un modelo de evaluación el cual incluirá el proceso. El modelo se encontrará orientado a las organizaciones lineales y matriciales. Validación de la propuesta de proceso de evaluación del desempeño. Las exclusiones del proyecto son las siguientes: El modelo propuesto no contará con una solución tecnológica. El modelo no podrá aplicarse correctamente en empresas que no cuenten con estructuras lineales y matriciales. No se desarrollará una aplicación web ni móvil. 1.4.2. Plan de Gestión del Tiempo Tabla 2 Fases e hitos del proyecto Hito del proyecto Fecha Estimada Entregables incluidos Prioridad Hito 1: Validación con el comité de proyectos 05092021 Project Charter Cap 2. Alineamiento de ABET Alta Hito 2: Sustentación con el Portfolio Manager 03102021 Capítulo 6, artefactos de PM Capítulo 3: Marco teórico. Objetivo 1 Estado del Arte Alta Hito 3: Sustentación parcial 17102021 Objetivo 2 Atributos de Calidad Anexo B. Atributos de Calidad Estado del arte Alta Hito 4: Sustentación con el Portfolio Manager 28112021 Objetivo 2 con ajustes Anexo B. Atributos de Calidad Alta 16 Hito 5: Sustentación final 05122021 Objetivo 2 Alta Hito 6: Sustentación con el Portfolio Manager 08052022 Objetivo 3 Alta Hito 7: Sustentación parcial 22052022 Cap 4. Desarrollo del Proyecto Objetivo 3 Cartera de proyecto Alta Hito 8: Sustentación con el Portfolio Manager 29052022 Cap 4. Desarrollo del Proyecto.","high"
"161755264.txt","D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core","LIM","estructural, diseño, análisis, edificación, confiabilidad, herramienta, herramientas, resultado","el diseño estructural; herramientas tecnológicas; los requisitos normativos; , gracias a las correcciones realizadas; análisis estructural","La utilización de herramientas tecnológicas avanzadas facilita el proceso de diseño y análisis estructural, mejorando la precisión y la confiabilidad de los resultados. En resumen, el estudio demuestra que el diseño estructural de la edificación cumple con los requisitos normativos, gracias a las correcciones realizadas y al uso del software 29 de análisis estructural ETABS 20.3.0. Estos hallazgos respaldan la solidez y la confiabilidad del diseño estructural y su capacidad para cumplir con los estándares de seguridad y rendimiento establecidos. En la presente investigación en sus resultados tener un modelo matemático es una representación aproximada de la realidad. Se ha considerado que la estructura de cimentación de la edificación cuenta con suficiente profundidad y dimensiones adecuadas, lo que permite considerarla empotrada en el suelo y con un buen comportamiento sísmico. Sin embargo, es necesario tener presente que este modelo es una simplificación y que pueden existir otros factores o condiciones específicas en el sitio de construcción que no se han tenido en cuenta en este análisis. El diseño estructural sismorresistente del proyecto hotelero turístico en Tocache se enfrenta a riesgos de posibles fallas estructurales durante eventos sísmicos debido a la ubicación geográfica de la región. La persistencia en el uso de herramientas tradicionales como AutoCAD 2D puede llevar a incompatibilidades y dificultades para identificar errores en el diseño, aumentando el riesgo de incumplir con los estándares sismorresistentes adecuados. Esto pone en peligro la seguridad de los ocupantes y puede resultar en fallas estructurales y reducción de la vida útil de la edificación, e incluso pérdida de vidas humanas.","medium"
