"id","source_file","snippet","label","comentario"
"T2-0001","10159815.txt","Blum define el proceso de modelización como un proceso en el que se traslada elmundo real a las matemáticas en ambas direcciones Blum y Ferri, 2009. Para re-solver los problemas contextualizados en el mundo real, se utilizan las relacionesque se producen entre el Mundo Real y el Mundo Matemático. Estas relaciones seproducen en fases, que forman lo que se conoce como el ciclo de modelización. Esta forma de resolución de problemas relacionados con el mundo real se encuentrapresente en las pruebas PISA Sala y Font, 2019. 13A continuación se representan dos ciclos de modelización, el primero es el de losinformes PISA y el segundo es el propuesto por Blum y Leiss. Figura 1: Ciclo de modelización PISA 2003Dado un problema en su contexto, se formula un problema matemático, del quese obtienen unos resultados matemáticos. Se interpreta el resultado de la soluciónobtenida en su contexto y se valora si es razonable en el problema en el contextodado. Figura 2: Ciclo de modelización de Blum y Leiss 2007El ciclo de modelización de Blum y Leiss es una extensión del ciclo PISA, a14diferencia del ciclo de modelización PISA, se distingue entre la situación real y elmodelo de la realidad. El proceso de resolución de una tarea de modelización queda estructurado en sietepasos, que no se desarrollan de manera lineal, produciéndose un gran número deidas y venidas.comprensión de la situación realsimplificación de la situación y construcción de un modelo de la realidadmatematización o conversión del modelo de la realidad en un modelo ma-temáticoaplicación de procedimientos matemáticos para obtener un resultadointerpretación de este resultado matemático en la realidad de manera que seobtenga un resultado realvalidación de este resultado respecto a la situación inicialcomunicación del proceso completo de resoluciónMuchos de los problemas que se incluyen en las pruebas PISA son problemas conun nivel alto de demanda cognitiva, que tienen un contexto cerrado y de contextorealista, resolver problemas e interpretar situaciones en contextos personales, profe-sionales, sociales y cientficos.","1",""
"T2-0002","10143872.txt","Santiago de Chile. Las asambleas de León c. 1188 y el concejo como base de la estructura social y participación ciudadana.producto de las pretensiones de la madrastra lusa del recién asumido soberano de León. Los decreta, en la experta opinión de Fernández Catón, tienen una misma unidad de redacción y salieron íntegramente de la curia de 1188, al igual que la constitución del reino Fernández, 1993: 186-187. La contribución de todos los estamentos sociales hizo partícipes del pro-yecto político de Alfonso Ix a todas las fuerzas vivas del reino, otorgando una radiografía del pulso público de sus territorios y los alcances y límites de la po-testad y jurisdicción en su oficio. El poder del monarca se veía fortalecido de manera oficial porque sumado a la dependencia clara con el grupo magnaticio ahora estaba sancionado el apoyo de los concejos y del mundo rural en general. La naturaleza de la potestas regia se mantuvo ya que las nuevas asambleas, cor-tes, seguían siendo órgano consultivo en esencia4, que documentalmente ahora contaron con la participación de los bonorum hominium de manera constatable. Alfonso Ix de León llamó a una curia regia en 1194 tras la disolución de la alianza con Portugal y sellada la paz de Tordehumos 1194 con el monarca de Castilla5. En las disposiciones de la asamblea, celebrada en León y Compostela, el rey expresa que fue necesario redactar una nueva constitución debido a la re-lajada aplicación de los decreta de 1188 junto a la continuidad de desórdenes en sus territorios.","1",""
"T2-0003","10037700.txt","Autor: D. Alfonso Fortuny González Director: Dr. Francisco José Correa Ruiz Octubre-2018 ESCUELA TÉCNICA SUPERIOR DE NÁUTICA UNIVERSIDAD DE CANTABRIA Trabajo Fin de Máster AUTOMATIZACIÓN DE LA DISTRIBUCIÓN DE CARGA DEL BQ TINERFE BASADO EN MICROSOFT EXCEL AUTOMATION OF CARGO ARRANGEMENT FOR CHEMICAL TANKER TINERFE BASED ON MICROSOFT EXCEL Para acceder al Título de Máster Universitario en: Ingeniería Náutica y Gestión Marítima Octubre-2018 ESCUELA TÉCNICA SUPERIOR DE NÁUTICA UNIVERSIDAD DE CANTABRIA Trabajo Fin de Máster AUTOMATIZACIÓN DE LA DISTRIBUCIÓN DE CARGA DEL BQ TINERFE BASADO EN MICROSOFT EXCEL AUTOMATION OF CARGO ARRANGEMENT FOR CHEMICAL TANKER TINERFE BASED ON MICROSOFT EXCEL Para acceder al Título de Máster Universitario en: Ingeniería Náutica y Gestión Marítima AVISO DE RESPONSABILIDAD: Este documento es el resultado del Trabajo Fin de Máster de un alumno, siendo su autor responsable de su contenido. Se trata por tanto de un trabajo académico que puede contener errores detectados por el tribunal y que pueden no haber sido corregidos por el autor en la presente edición. Debido a dicha orientación académica no debe hacerse un uso profesional de su contenido. Este tipo de trabajos, junto con su defensa, pueden haber obtenido una nota que oscila entre 5 y 10 puntos, por lo que la calidad y el número de errores que puedan contener difieren en gran medida entre unos trabajos y otros, La Universidad de Cantabria, la Escuela Técnica Superior de Náutica, los miembros del Tribunal de Trabajos Fin de Máster, así como el profesora director no son responsables del contenido último de este Trabajo.","0",""
"T2-0004","10014522.txt","UNIVERSIDAD DE CANTABRIA FACULTAD DE FILOSOFÍA Y LETRAS GRADO EN HISTORIA TRABAJO FIN DE GRADO Director: José Ramón Aja Sánchez Curso 20172018 LA RELIGIÓN DEL EGIPTO FARAÓNICO EN LAS OBRAS DE LOS ESCRITORES GRECORROMANOS: UNA APROXIMACIÓN AL TEMA THE RELIGION OF PHARAONIC EGYPT IN THE WORKS OF GRECO-ROMAN WRITERS: AN APPROXIMATION TO THE SUBJECT ELENA CERÓN FERNÁNDEZ Septiembre, 2018 2 RESUMEN Egipto es conocido por todos por haber albergado una de las civilizaciones más antiguas del Mediterráneo, ya que podemos remontar hoy sus orígenes, al menos, hasta los dos últimos siglos del IV milenio a. C. Griegos y romanos se interesaron desde muy pronto por las maravillas de la civilización egipcia, a la que consideraban no sólo la cuna de la sabiduría, sino también, el origen de muchos de los rasgos que caracterizaron a su propia cultura. Producto de ese interés son los numerosos testimonios escritos que nos han llegado de la Antigüedad, donde autores grecorromanos recogieron las experiencias obtenidas en sus viajes a Egipto, así como sus impresiones acerca de lo que allí conocieron. En este trabajo, analizaremos las obras de algunos de ellos, con objeto de dilucidar qué elementos de la religiosidad egipcia les llamaron especialmente la atención y qué grado de relación guardan esos elementos con la religión griega. Palabras clave: Egipto antiguo, Religión, Fuentes clásicas, Escritores grecorromanos. Influencia del monoteísmo: henoteísmo en la religión greco-egipcia ............... 26 3. 3. CULTO A LOS ANIMALES Y SACRIFICIOS ...................................................... 30 3. 4. EL TEMPLO, SACERDOTES Y ORÁCULOS ...................................................... 36 3.","0",""
"T2-0005","10050439.txt","Nuestro deber ético de ayudarles no puede basarse en una empatía humanitaria que resultaría insuficiente, de modo que la universalidad humanista que está condenada al fracaso es la universalidad de semejantes que se recono-cen a sí mismos en los demás, es decir, que saben que independientemente de nuestras preferencias políticas y religiosas somos todos iguales y compartimos los mismos miedos y pasiones p. 88. 66 Jesús Ignacio Martínez GarcíaDERECHOS Y LIBERTADES ISSN: 1133-0937Número 39, Época II, junio 2018, pp. 63-95 146791082Una de las razones que explican este giro es la necesidad de evitar el uni-versalismo homogeneizador a que tiende el planteamiento clásico. Nuestro mundo tan relacionado y diversificado requiere un pensamiento radical-mente pluralista, abierto a la diferencia. La sociedad moderna se caracteriza por una constante producción de otredad 8. La igualdad ya no puede ser uniformidad sino un esquema sensible a la diferencia 9. Lo analógico cede el paso a lo dialógico. No puede haber reductio ad unum sino gestión de la multi-plicidad. La unitas multiplex es una exigencia de la actual complejidad 10. La igualdad se convierte en conjunción de modos de complementarie-dad. El reconocimiento de la diversidad se vuelve crucial. La potencia del reconocimiento y ésta fue una novedad de Hegel frente a Kant activa la dialéctica de la diferencia. No es proclamación de similitudes ni igualación sino reconocimiento de lo otro y generación de alteridad. La dialéctica es un pasar a otro, en el que algo deviene otro y lo otro en general deviene otro. Lo otro deviene lo otro de lo otro 11.","1",""
"T2-0006","10098476.txt","Ejemplo de meme original Imagen 4. Ejemplo de meme adaptado a la idiosincrasia del grupo Caracterización pragmática del humor de la sociedad española a través del estudio de los memes de Internet 22 Con todo esto, se evidencia que los memes compartidos por una comunidad transmiten la idiosincrasia de esta, pues aporta información sobre cuestiones de actualidad y su actitud ante ellas, el tipo de humor, creencias, tabúes, cuestiones de imagen social, etc. Asimismo, con la aparición de los memes, existe la posibilidad de desarrollar nuevas formas de hacer referencia al mundo González Pérez, 2019. Por lo tanto, como ya ha sido mencionado, para que el destinatario interprete el mensaje humorístico canalizado por el meme, es necesario un conocimiento compartido entre emisor y destinatario y, en gran medida, una competencia sociocultural común. 2. 2. 3. 4. CLASIFICACIONES DE LOS MEMES Con la masiva producción de memes, ha aparecido una gran variedad de distinciones en lo que se refiere a su tipología. La clasificación de los memes varía en función de los diferentes aspectos que se tienen en cuenta para ello. Una de las taxonomías que se ha elaborado para clasificar los tipos de meme ha sido mediante su formato de difusión. Así, los tipos de meme más frecuentes en función de su formato de difusión son los memes en formato GIF, texto, en vídeo o de imagen fija. Imagen 5. Ejemplo de texto Dentro de esta tipología, los que gozan de mayor difusión son los memes de imagen fija. A su vez, dentro de esta clasificación, pueden encontrarse subtipos como los memes en imágenes estáticas con texto, las fotografías, los dibujos, las imágenes retocadas con diferentes herramientas de edición, etc.","1",""
"T2-0007","10027741.txt","El Derecho Positivo es aquel que incluye las reglas de comportamiento que emanan del Poder Legislativo y que se imponen a la sociedad desde el ordenamiento jurídico. Este Derecho Positivo, de carácter coercitivo, no funciona solo, se requiere que se complemente con un Derecho Natural, un derecho de carácter racional y atemporal, al que se le atribuyen unas reglas que perduran a lo largo del tiempo, un contenido constante, como la costumbre o la jurisprudencia, al margen de los cambios que el legislador pueda realizar en ese Derecho Positivo. Se considera que, en el caso de duda en cuanto a aplicación de una norma o regla, ha de prevalecer siempre el Derecho Positivo sobre el Derecho Natural2. Parafraseando a Lisi, el Derecho Natural es un conjunto de principios basados fundamentalmente en la igualdad de los seres humanos y en la identidad de su naturaleza3. Estos principios se considera que tienen una vigencia universal y de carácter superior a las leyes positivas de cada comunidad; se encargan de corregir a dichas leyes positivas en pos de salvaguardarse a sí, a la ley natural4. Las leyes naturales han de ser iguales en todos las comunidades y no admiten cambios ni adaptaciones, puesto que la naturaleza humana es supuestamente igual e inmutable5. Sin embargo, es preciso decir que hay autores que consideran que ese Derecho Natural, desde una perspectiva histórica, ha sido influenciado por las distintas normas de Derecho Positivo que se han ido creando a lo largo del 1 Cariola, A., El Derecho natural y la historia: la afirmación de la libertad de conciencia en el Estado democrático, Revista de estudios políticos, n. 116, 2002, p. 108.","0",""
"T2-0008","10163212.txt","Este sensor analógico por su sencillez carece de librea en Arduino por lo queen este proyecto se puede usar de igual manera sin utilizar ningún añadido,por lo que se obtiene una portabilidad total. Figura 11: Imagen de un sensor lumnico.sharp.c En este caso se construye un demostrador para el sensor de medición dedistancia SHARP GP2DI20 24 y al igual que en el demostrador explicado enel anterior punto, estamos hablando de otro sensor analógico, el cual emite unrayo de luz infrarroja para devolvernos una tensión proporcional a la distanciamedida en el puerto analógico conectado. Por lo tanto al tratarse de otrodispositivo de uso sencillo, no requiere de una librea adicional para su uso. Apesar de esto, en este proyecto este sensor se pretende utilizar en concreto en undemostrador que explicaremos mas adelante por lo que finalmente agregamos31SOPORTE Y USO DE LIBRERÍAS COMPATIBLES CON ARDUINO ENTARJETAS STM32 Y MaRTE OScódigo extra, añadiendo una tarea periódica que con un periodo de ejecuciónconfigurable hace una serie de medidas para devolver la media de estas, estecálculo se realiza para evitar errores puntuales en las mediciones ya que estetipo de sensores tienden a dar alguna medida errónea en ciertas ocasionesde mala luz u objetos con refracciones extrañas. También se ha añadido unacomprobación para que el resultado de nuestras mediciones esté dentro deun umbraleste umbral lo configuramos a nuestro gusto para si supera dichoumbral tomar la acción que se quiera es un disparador. Figura 12: Imagen de un sensor de distancia óptico. 5. 2. Demostradores de libreas con wrappersEn esta sub-sección se construyen demostradores de las libreas para las que se hadesarrollado un wrapper en la fase intermedia del proyecto, es decir, son libreasque que utilizan tal y como se utilizaan en Arduino solo que en vez de llamar asus funciones, se llaman a los envoltorios que se han creado para evitar el C:ultrasonicc.c : Utilizando el sensor Ultrasonic Ranger mostrado en la Figura13, y basándonos en los ejemplos que proporciona el fabricante para este seconstruye un demostrador que ejecuta una medición de distancia en un bucleinfinito y muestra esta medición por pantalla.","1",""
"T2-0009","10052452.txt","Teniendo presente estos principios proponemos, en torno a dos grandes mujeres artistas, y a modo de ejemplo, la realización de tres tipos de activida-des inspiradas en la propuesta de Dolores Apaolaza 2018, que siempre se realizarían con la guía del docente y en vistas a un desarrollo autónomo del conocimiento por parte del alumnado: Análisis visual: hace alusión a aquellos ejercicios en los que el alumnado deba analizar, comparar, comentar o identificar estilos artísticos. Análisis social-artístico: para no quedarse solamente en la parte técnica o estilística de la obra de arte, analizar qué es lo que ésta dice de la época a la que pertenece, cuál es su relevancia histórica o qué nos aporta cultural o socialmente. Con este apartado se pretende aportar el enfoque propio de las CC. SS. a la disciplina de la Historia del Arte, así como estudiarla de manera interdisciplinar. CriterioValoración personal: interpelar al juicio artístico del alumnado, teniendo en cuenta su opinión, y crear un espacio para aprender a debatir, compartir y respetar las ideas de los demás. 46 Antes de presentar esas actividades aportaremos una sucinta visión so-bre la situación de la mujer artista en la Edad Moderna, que nos permita con-textualizarlas adecuadamente. Entre los siglos XVI y las primeras décadas del XIX, alrededor de la mitad de las grandes artistas eran hijas de pintores o es-cultores, mientras que el resto, por lo general, solía proceder de familias de artesanos de otras ramas. Este dato es relevante debido a que, durante estos siglos, los artistas solían trabajar en un taller gremial y en equipo, con un con-junto de aprendices y ayudantes.","0",""
"T2-0010","10050128.txt","as Campañas de Marruecos fueron una serie de operaciones militares de mayor o menor envergadura en las que se vio inmerso el Ejército español entre 1909 y 1927. El escenario de tales conflagraciones bélicas fue el área septentrional del Sultanato de Marruecos, aquel que correspondía proteger a la potencia ibérica dentro de lo acordado en la Conferencia de Algeciras 1906. Las casi dos décadas de irregulares contiendas castrenses fueron ilustrativas de la timorata política imperial española. La penetración colonial española se caracterizó por la intermitencia de la actividad militar en el Marruecos bajo su protección, mayor o menor, en función de la situación internacional, de los cambios gubernamentales en L Diacronie Studi di Storia Contemporanea www.diacronie.it N. 28 42016 La voce del silenzio: intelligence, spionaggio e conflitto nel XX secolo 3 La conspiración turco-comunista: espías, contrabandistas e instructores en el Rif Daniel MACÍAS FERNANDEZ Las Campañas de Marruecos 1909-1927 y, especialmente, la denominada Guerra del Rif 1921-1927, que se insertaba en el ciclo bélico anteriormente citado, fue la ardua e ingrata misión a la que se destinó a la parte más operativa y ambiciosa del ejército español de comienzos del siglo XX. Las trabas y los problemas que tuvieron para pacificar la región que les correspondía por los acuerdos internacionales, acabaron llevando a la inteligencia militar a pensar en intromisiones extranjeras. Espías, informadores y una red de contraespionaje fueron temas protagonistas de una abundante documentación generada por la administración colonial y las legaciones diplomáticas españolas por las cuatro esquinas del mundo.","0",""
