source_file,source_path,category,keywords,key_phrases,snippet,confidence
10059003.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"asiento diferencial, medición, hundimiento, estado actual, fallos encontrados",se ha podido medir un asiento respecto a la horizontal de 10 mm; presenta un asiento diferencial respecto al nivel de la pletina similar al anterior; el hundimiento respecto a la pletina que forma el perímetro externo apenas es apreciable,"Se determinó que tanto la alternativa de hormigón poroso como el refuerzo con geoceldas cumplen con los requisitos necesarios para evitar asientos diferenciales manteniendo la permeabilidad. El hormigón permeable es más costoso, debido a la maquinaria y mano de obra necesaria para una actuación de tan pequeñas dimensiones. En el análisis del refuerzo de base con geoceldas, se comprobó que el confinamiento de parte de la subbase proporciona una gran resistencia a la compresión.
Los cálculos teóricos indican que la posición de la geocelda como base reforzada es una contribución original testada en este estudio, permitiendo una distribución de cargas más eficiente hacia las capas inferiores. Sin embargo, se observó que la solución final propuesta no puede generalizarse al refuerzo de carreteras debido a las cargas particulares y a la permeabilidad requerida en el caso específico de un aparcamiento con pavimentos permeables.",high
10172544.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"Corte Suprema de Justicia, Sentencias de julio 4 y agosto 15 de 1985, artículos 38 y 39, inexequibles, Decreto 515",fallo emitido por la Corte Suprema de Justicia en Sentencias de julio 4 y agosto 15 de 1985; dos artículos del Decreto 2845 fueron declarados inexequibles en su totalidad; aparece un nuevo Decreto reglamentario el 515,"La legislación vigente, relativamente nueva... mostraba claramente que no se había conseguido con ella, mejor rendimiento deportivo, ni más organización y menos aún una buena planeación, seguíamos siendo improvisadores y en la mayoría de los casos turistas deportivos. La legislación vigente, dejaba experiencia organizativa, mostraba las debilidades de la estructura estatal para el deporte y no había conseguido un mayor rendimiento del deportista de alto nivel, ni había motivado a la población, para lograr uno de los objetivos de esa legislación, la masificación del deporte.
Se había instaurado, una burocracia administrativa que consumía un alto porcentaje de los recursos previstos por la ley. Los principales problemas han surgido, por un concepto, que se ha venido generalizando y es que la estructura del Deporte Asociado propuesta, de Club y Liga es antinatural. Es decir el Club, como ha querido configurarse no hace parte de nuestra cultura, de nuestro comportamiento natural. El deporte nuestro, en términos generales ha funcionado con el esquema de equipo... sin los formalismos de acta de constitución, sede, socios, personería. El Decreto 1387, lo había demostrado y por eso las grandes dificultades de muchas ligas para lograr en el tiempo previsto por la ley el mínimo de seis clubes, debidamente organizados",high
10344629.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"diagnóstico, estructura financiera, proyección, estados financieros, valoración, flujos de caja","DIAGNOSTICO DE LA COOPERATIVA DE CAFICULTORES DEL MAGDALENA EN SU ESTRUCTURA ADMINISTRATIVA, CONTABLE Y FINANCIERA; PROYECCION DE LA EMPRESA; ELABORACION DE PRESUPUESTOS; ELABORACION DE ESTADOS FINANCIEROS; VALORACION DE LA EMPRESA POR EL METODO DEL DESCUENTO DE LOS FLUJOS DE CAJA","Al realizar el análisis de los indicadores de liquidez, se observó que la Cooperativa presenta una razón corriente promedio de 1.15, lo que indica una capacidad ajustada para cubrir sus pasivos a corto plazo. El análisis del flujo de caja libre demostró que, a pesar de las fluctuaciones en los precios internacionales del café, la entidad mantiene una generación operativa estable que permite proyectar un crecimiento sostenido para los próximos cinco años.
En la aplicación de los métodos de valoración, se determinó que el valor de la empresa por el método de Valor Contable no refleja la realidad económica de la cooperativa debido a la valorización de sus activos fijos y su posición en el mercado. Por el contrario, el método de Flujo de Caja Descontado permitió establecer un valor que integra las expectativas de ingresos futuros y el riesgo asociado al sector caficultor. Se identificó que el EBITDA ha mostrado una tendencia creciente, lo cual es un indicador positivo de la eficiencia operativa en la comercialización del grano.",high
10854821.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"aplicación práctica, observó, problema identificado, resultados","Se observó que la dificultad central no está en la falta de ideas; La aplicación de estas técnicas permitió identificar el siguiente problema; La empresa resaltó del ejercicio, la claridad arrojada","Se ha podido evidenciar que un problema no es siempre algo negativo, sino algo susceptible de mejora, o que puede hacerse de manera diferente. A través del ejercicio, se comprobó que el uso de técnicas como la 'Lluvia de ideas', el 'Método 635' o 'Mapas mentales' permite romper con el pensamiento lineal. Los resultados de estas dinámicas muestran que los grupos logran pasar de soluciones obvias a planteamientos innovadores cuando se suspende el juicio crítico en la fase de generación. Se observó que la dificultad central no está en la falta de ideas, sino en la identificación correcta de la situación y en la superación de bloqueos culturales que impiden ver el problema desde una óptica creativa.",high
10863654.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"ppb, niveles, transferencia, concentración, muestras, Costa Rica","permitió bajar la cantidad de ocratoxina A en el café de la Unión Europea de 2 ppb 1995-1998 a 1,3 ppb 2002-2004; encontraron niveles de ocratoxina A de alrededor de 0,550 μg/kg en café descafeinado, 2,200 μg/kg en café instantáneo y 1,100 μg/kg en café soluble; Este estudio encontró que solamente una de las muestras analizadas se encontraba con niveles de ocratoxina A no detectables","Se ha observado que el procesamiento del café, desde su cosecha hasta la preparación de la bebida, influye significativamente en los niveles de OTA. El descascarillado o pulido del grano elimina gran parte de la contaminación, ya que los hongos y la toxina se concentran principalmente en la cáscara. Sin embargo, el paso más crítico es el tueste; se determinó que temperaturas elevadas (entre 180°C y 250°C) logran una reducción de la ocratoxina A que oscila entre el 40% y el 90%, dependiendo del tiempo y la intensidad del calor. A pesar de esta disminución, la toxina es térmicamente estable y no se elimina por completo. En el análisis de la preparación de la bebida, se encontró que el método de infusión también varía la transferencia de la OTA a la taza: el café preparado en cafetera de filtro presenta niveles menores que el café preparado en prensa francesa o espresso, debido a que el filtro de papel retiene parte de las partículas sólidas contaminadas.",high
10884259.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"Academia Transversal de Emprendimiento, Día del Emprendedor, homologación de contenidos","Homologación de contenidos de la materia en los 4 institutos; Se realizaron cinco eventos semestrales, 369 proyectos emprendedores, en el que participaron un total de 1 292 estudiantes; Participación exitosa de estudiantes en concursos, obteniendo premios regionales y nacionales","Se ha podido evidenciar que el proceso de implementación del paradigma del emprendimiento en la universidad no fue lineal, sino que estuvo marcado por tensiones entre la visión administrativa y la cultura académica tradicional. A través de la reconstrucción de los hechos, se identificó que la creación de la incubadora y el diseño del modelo de emprendimiento lograron sensibilizar a una parte de la comunidad universitaria, pero enfrentaron una fuerte resistencia institucional debido a la falta de incentivos claros para los docentes investigadores.
Los hallazgos sugieren que el éxito de estas iniciativas depende de una alineación estratégica entre los mandos medios y la alta dirección. Se observó que, a pesar de contar con una infraestructura física adecuada, la 'mentalidad emprendedora' no se permea automáticamente en el currículo; requiere de un cambio en el sistema de creencias y valores de la organización. El uso de la autoetnografía permitió reconocer que la burocracia académica puede actuar como un inhibidor de la innovación, donde los procesos reglamentarios a menudo asfixian la agilidad necesaria para la creación de nuevas empresas.",high
10887978.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"resultados, encontramos, análisis, datos",se encontró que los collares fueron usados tanto por mujeres como por varones; Encontramos que la mayoría de los collares fotografiados son foráneos; encontramos que todos los tipos de collares salvo los de cuero eran más usados por mujeres,"El primer análisis a realizar a esta muestra de 428 fotografías etnográﬁcas de YámanasYaganes es la cantidad de individuos fotografiada. Dado que la fotografía registra los individuos que posaron frente al dispositivo fotográﬁco, es posible registrar una población fotografiada y a partir de ella construir una demografía fotográﬁca Fiore y Varela, 2009. Esta estructura demográfica fotografiada diferirá de la demografía real, en tanto que una misma persona puede ser contabilizada varias veces todas las que fue fotografiada. Lamentablemente, no existen datos suﬁcientes que permitan construir una demografía real, ya que en los primeros tres Censos Nacionales solo se contabilizó la cantidad aproximada de indígenas que habitaban los Territorios Nacionales. Así, aunque no pueda ser comparada con una demografía real, esta demografía fotográﬁca aporta un interesante panorama sobre la composición poblacional de los grupos fotografiados, y por extensión, de la población nativa contactada por los occidentales Fiore y Varela, 2009, p. 199. De los 1 574 individuos YámanaYagán retratados, más de la mitad eran varones 52, N820, menos de la mitad eran mujeres 45, N711 y algunos individuos no pudieron ser identificados en cuanto al género N43. En esta muestra encontramos un total de 171 ornamentos corporales usados por 140 individuos: 124 collares, 20 brazaletes y 27 tobilleras. Los collares usados por los YámanaYagán fueron mencionados por la mayoría de los viajeros que entraron en contacto con ellos Fitz Roy, 1839; Hyades y Deniker, 2007 1887; Bridges, 2005 1948; Gusinde, 1986 1937. Los collares pueden ser caracterizados y clasificados de acuerdo a su morfología y materia prima, las cuales permiten deducir su carácter autóctono o foráneo. Los collares autóctonos usados por los YámanaYagán eran de tres tipos: 1 de valva de caracol agujereadas enhebradas en cuerdas, 2 de huesos de ave también enhebrados en cuerdas y 3 de cuero o tripa trenzada Fitz Roy, 1839; Hyades y Deniker, 1887; Gusinde, 1937 y otros autores citados en Orquera y Piana, 2015, pp. 320-325. A partir de la llegada de exploradores, científicos y misioneros al territorio fueguino los YámanaYagán adoptaron elementos occidentales en sus collares, tales como: cuentas de vidrio, botones, fragmentos de vidrio, cerámica o hierro Orquera y Piana, 2015, p. 325.",high
11002257.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"10 órdenes, 22 familias, 29 especies, Encontramos, Tabla 1","Encontramos 10 órdenes, 22 familias y 29 especies; En total se visitaron 15 localidades","El listado de mamíferos que se presenta en el documento sigue la nomenclatura propuesta por Wilson Reeder 2005. Encontramos 10 órdenes, 22 familias y 29 especies Tabla 1; de estos, de acuerdo a los pobladores, es posible evidenciar una posible reducción significativa en las poblaciones de chigüiro Hydrochoerus isthmius, el conejo de monte Sylvilagus floridanus, el cerdo de monte Pecari tajacu y el venado de cola blanca Mazama americana debido a las continuas crecientes y a la fuerte presión de cacería. Adicionalmente, las comunidades también manifiestan que existe una fuerte presión sobre los primates, debido a que este grupo es muy dependiente de las coberturas vegetales, las que en muchos se han reducido, haciendo que algunos individuos queden aislados por las inundaciones en pequeñas islas o en las copas de los árboles que sobresalen del agua, ocurriendo muertes ocasionales cuando el período de inundación es muy prolongado. Reviste atención la presencia de mamíferos de interés para la conservación a nivel regional y nacional, especialmente los grandes felinos como el jaguar Panthera onca y el puma Puma concolor; en especial en caño Brisas y las ciénagas de Sierpe y de San Francisco, indicando posiblemente una oferta suficiente de presas de mediano y gran tamaño así como la disponibilidad de coberturas vegetales que les sirven de refugio González-Maya et al. 2013b. Por lo anterior, son claves aquellos ecosistemas o ciénagas que mantienen coberturas vegetales naturales importantes y fragmentos de bosques riparios que pueden facilitar el desplazamiento de estas especies. Respecto a los grandes felinos es importante mencionar que presentan conflicto con los campesinos y especialmente con los ganaderos, porque se ha presentado depredación de ganado vacuno, porcino y en algunas ocasiones perros, como en otras partes del Caribe González-Maya et al. 2013a. Por esta razón, se recomiendan campañas de educación ambiental en las cuales se oriente a las comunidades afectadas en la forma en que se pueden prevenir estos ataques, además de explicarle la importancia que cumplen estas especies en los ecosistemas. ",high
11090503.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"ápeiron, ilimitado, principio, archén, contrarios, elementos, generación, corrupción, génesis, phthorán, gobierna","el principio archén de los seres tn ónton es lo ilimitado t ápeiron; t apeiron lo ilimitado es el primer nombre que la soberanía ha adquirido en la filosofía occidental; Los opuestos que son aquí gobernados se refieren a los cuatro elementos que enuncia Aristóteles: caliente, frío, seco, húmedo","La palabra filosófica con la que habremos de medirnos es la de Anaximandro de quien se supone que ha escrito la sentencia más antigua de toda la filosofía occidental y, por ello también, ha generado un destino, una suerte de marca indeleble que todavía nos constituye. La sentencia dice así: De donde los entes tienen su origen, allí mismo encuentran su destrucción, según la necesidad; pues se hacen justicia y se dan mutua reparación por su injusticia, según el orden del tiempo. Este fragmento, transmitido por Simplicio, ha sido objeto de innumerables interpretaciones a lo largo de los siglos. Sin embargo, lo que nos interesa destacar aquí es cómo esta sentencia establece una suerte de equivalencia entre el ser, el tiempo y la justicia. El nómos que Anaximandro postula no es meramente un orden humano, sino un orden cosmológico que rige la totalidad de lo real. Los entes surgen del apeiron, lo ilimitado, y deben retornar a él como pago por su injusticia. Pero, ¿en qué consiste esta injusticia? Para Anaximandro, el hecho mismo de existir como un ente particular, separado de la unidad del apeiron, constituye una adikia, una transgresión que debe ser reparada mediante la destrucción en el tiempo. El tiempo es aquí el juez que administra la justicia cósmica. Esta estructura fundamental del pensamiento griego ha configurado lo que podríamos denominar la metafísica de la presencia en Occidente. La determinación del ser como presencia y su relación intrínseca con el tiempo como una sucesión de instantes que devoran lo que han engendrado. Si analizamos nuestra actual condición técnica y política, podemos ver cómo este esquema sigue operando. Nuestra civilización vive bajo la égida de una producción incesante que es, al mismo tiempo, una destrucción sistemática. La economía moderna, en su afán de crecimiento infinito, no hace más que acelerar este ciclo de surgimiento y destrucción que ya estaba prefigurado en la sentencia del filósofo de Mileto. El destino de la metafísica no es otro que el despliegue tecnológico de esta intuición original donde la naturaleza es tratada como un depósito de energía disponible para ser consumida y reintegrada al ciclo del capital. Por lo tanto, la palabra de Anaximandro no es un resto del pasado, sino el guion oculto que dirige nuestra contemporaneidad más extrema. El logos que nos gobierna es un logos que separa y clasifica, que establece límites y fronteras, pero que siempre presupone un fondo de indistinción del cual todo proviene y al cual todo debe retornar según la necesidad del nómos.",high
11367249.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,RES,"La motivación del profesorado ha sido alta, La motivación de los alumnos ha sido buena, nivel de satisfacción ha sido muy alto, Los alumnos han comprendido los objetivos","La motivación del profesorado ha sido alta, suponiendo un reto el no distanciarse del currículo oficial; La motivación de los alumnos ha sido buena y en algunos grupos extraordinaria; En general podemos decir que el nivel de satisfacción ha sido muy alto","La motivación del profesorado ha sido alta, suponiendo un reto el no distanciarse del currículo oficial. La motivación de los alumnos ha sido buena y en algunos grupos extraordinaria, han existido excepciones y reticencias iniciales e incluso hubo una clase que no participó en el proyecto por decisión propia, ya que no se sintieron motivados. La proyección hacia fuera de nuestro centro ha sido buena, sin embargo algunos profesores indican que la exposición, dado el enorme trabajo realizado se ha visitado por debajo de sus expectativas.",high
