source_file,category,snippet,word_count,matched_keywords,regex_score
7763456.txt,BACK,"Medición de los efectos tempranos en el promedio del tiempo de enganche al mercado laboral de los egresados de pregrado de la Universidad EAFIT de la Política Pública de Primer Empleo ley 1429 de 2010 mediante un modelo de regresión discontinua. CAMILO TOBÓN HERRERA UNIVERSIDAD EAFIT ESCUELA DE HUMANIDADES MEDELLÍN 2018 Medición de los efectos tempranos en el promedio del tiempo de enganche al mercado laboral de los egresados de pregrado de la Universidad EAFIT de la Política Pública de Primer Empleo ley 1429 de 2010 mediante un modelo de regresión discontinua. CAMILO TOBÓN HERRERA Trabajo de grado presentado como requisito final para optar por el título de Magister en Gobierno y Políticas Públicas Asesores: Jorge Enrique Coronel UNIVERSIDAD EAFIT ESCUELA DE HUMANIDADES MEDELLÍN 2018 Resumen En el año 2010 el gobierno nacional emitió la ley 1429 conocida también como política de primer empleo, en su momento la Ley pretendió estimular la creación de nuevos cargos de trabajo para la población joven a distintos niveles de formación, sin embargo, dada la dificultad para medir el nivel de formalización laboral no se cuenta con datos exactos del antes y el después de la divulgación de la Ley. Dada la limitación en el acceso a la información de carácter nacional, el estudio se enfocará en una muestra representativa de egresados de la Universidad EAFIT, así pues, los resultados medirán el efecto de la ley en los egresados de dicha Institución, permitiendo a su vez mostrar alternativas de utilización de procesos econométricos en la evaluación de los impactos de una política pública bajo escenarios en los cuales se tengan limitaciones de recursos e información, sin que dichas limitaciones afecten la calidad y confiabilidad de los resultados. Con respecto a los modelos de regresión discontinua se buscará mediante su utilización mostrar la manera en que estos permiten medir los impactos tempranos de una intervención o aplicación de una política, utilizando en este caso como grupo de control a personas que por características temporales definidas como corte o discontinuidad no se beneficiaron del factor a evaluar. Palabras clave: Desempleo juvenil, ley 1429, Incentivos, Política Pública, Regresión discontinua. Contenido Introducción .................................................................................................................................................. 5 Ley 1429 de 2010...................................................................................................................................... 7 Antecedentes y planteamiento ...................................................................................................................... 7 El desempleo ............................................................................................................................................. 7 Marco teórico y metodológico .................................................................................................................... 12 Marco teórico .......................................................................................................................................... 12 Metodología y especificación econométrica. .......................................................................................... 18 Metodología ........................................................................................................................................ 19 Especificación Econométrica: modelo de regresión discontinua ........................................................ 21 Análisis de la información y principales hallazgos. .................................................................................... 24 Conclusiones y recomendaciones. .............................................................................................................. 27 Referencias bibliográficas. .......................................................................................................................... 28 Introducción El desempleo suele ser una de las principales preocupaciones de los gobiernos, dado que en una sociedad altamente organizada y con un sistema económico estructurado, la mayor parte de su población obtiene su ingreso",450,"marco teórico, antecedentes",3
2821319.txt,INTRO,"y la posterior autorización de la combustión en 1989, se puso de manifiesto la dificultad de las empresas de regeneración para subsistir en dicho mercado, llegándose a la práctica desa- parición de su actividad. Se da así la paradoja de que la opción de gestión considerada ofi- cialmente como más beneficiosa se ve desplazada de modo casi absoluto por otra la com- bustión menos conveniente. El resurgir de la regeneración se produce a mediados de los noventa, auspiciado fundamentalmente por la introducción de medidas públicas de fomento, pero se mantiene en una posición de clara inferioridad frente a la combustión. El objetivo de este trabajo es analizar el funcionamiento del mercado de aceites regene- rados en España durante el período de 1965 a 1999, a través de la estimación de sus funcio- nes de oferta y demanda, con el fin de identificar los factores determinantes de su evolución y poder extraer conclusiones que ayuden al diseño de las políticas públicas encaminadas a potenciar la regeneración 4. La estimación de las funciones de oferta y demanda del mercado puede servir para, a partir del cálculo de elasticidades, valorar la eficacia de las distintas políticas propuestas para promover el reciclaje. Así se ha hecho para los mercados secundarios de distintos productos, como el papel Anderson y Spiegelman, 1977; Gill y Lahiri, 1980; Edgren y Moreland, 1989; Edwards y Pearce, 1978; Deadman y Turner, 1981; Kinkley y Lahiri, 1984; Nestor, 1991, el cobre Slade, 1980; Fisher, Cootner y Baily, 1972, el acero Anderson y Spiegel- man, 1977, el plomo Sigman, 1995 y el aluminio Suslow, 1986; Bomberg y Hellmer, 2000. Adicionalmente, los resultados de este tipo de estudios son utilizados como input para acometer el análisis de la eficiencia de las políticas de incentivos económicos propuestas para promover el reciclaje, lo que ha contribuido el desarrollo de una literatura complemen- taria de la anterior Miedema, 1983; Dinan, 1993; Palmer y Walls, 1994, 1997, 1999 y 2002; Fullerton y Kinnaman, 1995; Palmer, Sigman y Walls, 1997; Walls y Palmer, 1999; Calcott y Walls, 2000 y 2001. Como puede comprobarse, no existe ningún estudio empírico referi- do a los aceites lubricantes, por lo que su realización constituye una novedad en el contexto internacional. El trabajo se estructura en cuatro secciones. Tras esta introducción, en primer lugar, se analizan los principales rasgos del sector de la regeneración de los aceites usados desde una perspectiva teórica y se hace una breve descripción de la evolución de las actividades de re- generación en España. A continuación, se procede a la especificación de las funciones de oferta y demanda de aceites regenerados en España y se presentan los resultados de su esti-",443,"introducción, el objetivo de este",3
2821319.txt,RES,"la mayor parte del período estudiado, la regeneración fuese la única salida para los aceites usados recogidos; además, los directivos y técnicos del sector consultados, confirman que la disponibilidad de aceites usados ha sido habitualmente un factor clave que ha condicionado el nivel de actividad de la industria de la regeneración. En definitiva, los nuevos regresores introducidos han sido: DPARS: variable ficticia, de tipo multiplicativo con PARS, que refleja el cambio en la determinación del precio de los aceites base regenerados tras su liberalización en 1987, mo- mento hasta el cual toma el valor cero. L: variable ficticia aditiva que recoge el mismo efecto anterior, con valor uno a partir de 1987. DAU: disponibilidad de los aceites usados, obtenida como cantidad de aceites usados re- cogida en relación con la capacidad de gestión instalada regeneración y combustión. NMC: variable ficticia, de tipo multiplicativo con DAU, que recoge la permisividad de la normativa medioambiental con respecto a la combustión. Es distinta de cero a partir de 1992, año en el que se aprecian nuevos síntomas de ruptura estructural. MA: variable ficticia aditiva que recoge el nuevo marco de actuación adoptado por la Generalitat de Cataluña para la gestión de aceites usados, con valor uno a partir de 1996. FAM: variable ficticia aditiva que introduce el cese de la actividad, en 1999 y por moti- vos ajenos al mercado cambio de localización, de una de las dos empresas que operaban en el sector. Los principales resultados de la estimación se presentan en el ya citado cuadro 3. Hasta 1986 el coeficiente de la variable precio es negativo, lo que puede interpretarse como una manifestación del ajuste de la oferta a la demanda. La razón de esta anormalidad se encuen- tra, como ya se ha dicho, en que, durante la etapa del Monopolio, las empresas de regenera- ción eran remuneradas por CAMPSA según sus costes de explotación, por lo que fijaban el volumen de producción de aceites en función de las ventas que podían realizar a las empresas de fabricación de lubricantes. El precio de los aceites afectaba a la cantidad ofrecida sólo in- directamente, a través de su efecto sobre la cantidad demandada, lo que explica el signo ne- gativo obtenido para el coeficiente. A partir de 1987 el efecto de esta variable se corresponde con la suma del coeficiente de las variables PARS y DPARS, y su signo se hace positivo tal como cabe esperar en un mercado competitivo. Para este último período se obtiene una elas- ticidad precio, en el punto de medias muestrales, de 1,33. 44 A. ARNER GÜERRE, R. BARBERÁN ORTÍ, J. MUR LACAMBRASi se atiende al coeficiente estimado asociado a L, se completa la evidencia sobre el",450,"coeficiente de, resultados, razón de",4
2821319.txt,DISC,"cambio radical habido en la estructura de la función de oferta a partir de 1987. En este caso, se trata de un ajuste en la escala de la función de oferta, producido al mismo tiempo que el coeficiente asociado a la variable precio cambia de signo. El coeficiente estimado asociado a la variable TEC es positivo, corroborando el supuesto de que la utilización de una tecnología avanzada constituye un factor fundamental para el de- sarrollo de la regeneración. El signo positivo del coeficiente estimado asociado a la variable DAU indica que el in- cremento en la competencia por los aceites usados perjudica la regeneración. Esta competen- cia se intensifica cuando la normativa medioambiental permite la combustión de los aceites, tal como se refleja en el signo negativo obtenido para el coeficiente que acompaña a la varia- ble NMC. El coeficiente asociado a la variable MA presenta signo positivo, evidenciando la mejora en las condiciones derivadas del nuevo marco legal promulgado por la Generalitat de Catalu- ña para la gestión de los aceites usados en su Comunidad. El coeficiente estimado asociado a la variable FAM presenta signo negativo, reflejando la caída en el volumen de la producción de aceites regenerados debido al desmantelamiento de una de las dos empresas que operaban en el sector. b Estimación de la función de demanda de aceites regenerados Al igual que antes, la forma funcional propuesta para la estimación de la ecuación 2 es lineal. El análisis del orden de integración indica que todas las variables en la ecuación de demanda son I1. El contraste de Engle-Granger confirma la estacionariedad de los residuos de la ecuación de cointegración y según el contraste de Johansen se acepta r  1 y, por tanto, la existencia de una única relación de cointegración, tal como se indica en el cuadro 4. Los resultados obtenidos en la estimación inicial de la ecuación 2 son, como ocurría con la función de oferta, insatisfactorios. El test de Chow indica que uno de los principales defectos en esa especificación es la omisión del entorno institucional en el que opera el mer- cado, entorno que introducimos a través de las siguientes variables: LI: variable ficticia aditiva que recoge el cambio operado en la demanda de aceites rege- nerados como consecuencia de la liberalización interior de la producción de aceites base su- presión de límites de cantidad. Esta variable toma valor uno a partir de 1988. LE: variable ficticia aditiva que recoge el cambio operado en la demanda de aceites re- generados como consecuencia de la liberalización exterior del mercado de lubricantes su-",428,consecuencia de,2
2821319.txt,BACK,"objetivos de recogida y regeneración. 5. Según el informe de Coopers  Lybrand 1997, el principal obstáculo para la regeneración es la menor renta- bilidad de este proceso en comparación con la combustión, de forma que los recogedores de aceites usados consiguen precios más elevados por los aceites que venden a las cementeras y a otras empresas que los utilizan como fuel, que por los aceites que venden a las empresas de regeneración. El informe de Taylor Nelson Sofres Consulting 2001, ahonda en esta misma línea, al señalar que, excepto en el caso de las empresas regenerado- ras de gran capacidad, una empresa de regeneración no puede competir con los procesadores de los aceites usados para su combustión, ya que el precio máximo que la planta puede pagar por los aceites usados entre 25 y 100 Eurostonelada, dependiendo del país no es suficiente para cubrir los costes de recogida, mientras que los procesadores de los aceites usados para su combustión pueden pagar precios superiores entre 40 y 120 Eu- rostonelada, según países. 6. La tecnología tradicional de regeneración por ácido sulfúrico y tierras absorbentes proceso Meinken, debido a su reducido rendimiento y elevado impacto ambiental, ha dado paso a otros procesos: proceso de regenera- ción por desasfaltado térmico, con terminación por tierras o hidrogenación proceso TDA; proceso de regene- ración por extracción con propano y terminación por tierras proceso Interline; proceso por destilaciones flash sucesivas y tratamiento final con reactivos proceso VAXON; y procesos de destilación a alto vacío e hidro- genación procesos KTI, Mohawk, etc., que resultan los más sofisticados en la actualidad. 7. Según Taylor Nelson Sofres Consulting 2001, el incremento de los costes de capital experimentado a lo largo de este proceso de innovación tecnológica se estima que llega al 75 por 100 respecto de su inicio, de modo que actualmente los costes fijos representan entre un 55 por 100 y un 80 por 100 de los costes totales dependiendo de la tecnología utilizada. Según el informe de Coopers  Lybrand 1997 el coste de capital depreciación y costes financieros para una planta de regeneración standard es de un 51 por 100 de los cos- 50 A. ARNER GÜERRE, R. BARBERÁN ORTÍ, J. MUR LACAMBRAtes totales. Por otra parte, en este mismo informe se estima una escala mínima eficiente de entre 60.000 pro- ceso TDA y 80.000 proceso KTI toneladas de aceites usados para que la regeneración resulte competiti- va; en tanto que Angulo 1997 señala una capacidad mínima de planta de 25.000 toneladas de aceites",417,"según el, según taylor",3
82440633.txt,DISC,"El conocimiento personal se alimenta de las organizaciones e instituciones, y a su vez  el individuo retroalimenta a la red para seguir aprendiendo. El conectivismo intenta  proporcionar una explicación de cómo aprenden los estudiantes y las organizaciones.  Durante muchos años, la idea de aula se asoció al espacio físico donde un docente  dicta clases ante sus alumnos. Sin embargo, con el desarrollo de la tecnología, hace   Stephen Downes es un especialista en tecnología de aprendizaje en línea y los nuevos medios. es una  voz destacada en línea y aprendizaje en red, y es autor de gestión del aprendizaje y el software de la   George Siemens es un teórico en la enseñanza en la sociedad digital. Es el autor del artículo  Conectivismo: Una teoría de la enseñanza para la era digital y del libro Conociendo el conocimiento, una  exploración del impacto del contexto cambiante y de las características del conocimiento.   John Broadus Watson fue un psicólogo estadounidense fundador del Conductismo.1, fue uno de los   Jean Piaget Neuchtel, Suiza, 1896 - Ginebra, 1980 Psicólogo constructivista suizo cuyos  pormenorizados estudios sobre el desarrollo intelectual y cognitivo del niño ejercieron una influencia  trascendental en la psicología evolutiva y en la pedagogía moderna.   Lev Semiónovich Vygotsky fue un psicólogo ruso que tenía origen judío, y fue uno de los teóricos que  más se destacó en estudios de la psicología del desarrollo, también fue un precursor de la  neuropsicología soviética y fundó la psicología histórico-cultural.  un tiempo surgió una noción que plantea un nuevo tipo de aula: el aula virtual. Un aula  virtual no tiene límites físicos: sus limitaciones se vinculan a la disponibilidad de  acceso por la vía informática. El alumno, por otra parte, puede ingresar al aula en  cualquier momento y desde cualquier lugar para tomar sus clases. A diferencia de las  aulas tradicionales, donde el profesor está presente físicamente y ejerce un mayor  control sobre las acciones del alumno, en el aula virtual es el propio estudiante quien  debe decidir cómo, cuándo y de qué forma estudiar.  Teniendo en cuenta que la computadora se ha convertido en un factor importante en  nuestras vidas, es indispensable ir creciendo junto con ellas, desarrollando nuevas  aplicaciones que gracias a la tecnología, permita a todos los usuarios desenvolverse  fácilmente dentro de sus labores.  Con la llegada de las Aulas Virtuales como nueva herramienta se abren nuevas  puertas hacia el futuro. Una de ellas es la adquisición de información de tipo educativo,  permitiendo la combinación de imágenes, videos, sonidos, logrando así una captación  sobre temas más completa y comprensible para el usuario, a diferencia de sistemas  anteriores que solo poseían la capacidad de presentar la información por medio del",441,a diferencia de,2
82440633.txt,CONC,"-El comando de volver es de vital importancia para cualquier plataforma, por lo que  fue utilizado como pregunta para analizar las dificultades de navegación, en esta  pregunta un 48 indicó no poder hacerlo con facilidad. Sobre la navegación, más del  70 contestó que no necesito ayuda. El 64 volvería a utilizar la plataforma, por lo  que entendemos que para más de la mitad de los encuestados los problemas de  navegación o del diseño de la interfaz no condiciona negativamente la funcionalidad  de la misma como una herramienta y que a pesar de estos aspectos negativos le dan  más importancia a los recursos que brinda la plataforma.   Alejandro Gustavo Piscitelli Buenos Aires, 6 de agosto de 1949 licenciado en filosofía, sistemas y  ciencias sociales, especializado en los nuevos medios. Da forma a la teoría de que existe un rango de  nativos digitales y otro de inmigrantes digitales.  Como conclusión final podemos decir que los usuarios reconocen una utilidad y  valoran la herramienta, pero encuentran dificultades en la navegación y la usabilidad  de la plataforma. Si bien es mayor el porcentaje que volvería a utilizar el sitio, algunos  lo harían por mera obligación o porque es un entorno de la facultad.  Esta investigación se ve condicionada por distintos factores, uno de ellos es la  disciplina en la que se desarrolla el usuario, por ejemplo, estudiantes de diseño en  comunicación visual o simplemente relacionados con la facultad de Bellas Artes  tienen una mirada más crítica sobre cada elemento de la plataforma, evidenciando sus  falencias principalmente a partir del mal uso de recursos gráficos en el desarrollo de la  interfaz. En cambio, estudiantes de otras carreras fijan su interés en las herramientas  que brinda este espacio, sin darle importancia a su atractivo visual, sino al uso y  aprovechamiento que le pueden dar a la plataforma.  A partir de las herramientas de comprobación podemos concluir en que la elección de  esta plataforma se relaciona con el reconocimiento del sitio como una plataforma  virtual de la UNLP, a diferencia del reconocimiento de otras plataformas como redes  sociales. El sitio AulasWeb condiciona la relación alumno-docente siendo ésta más  formal en comparación a la comunicación que se genera mediante las redes sociales  habituales en la vida de las personas en la actualidad.  Sobre la experiencia de usuario pudimos comprobar que la misma se ve afectada  negativamente, ya que cuando los usuarios hacen alusión a sus experiencias previas  la califican en términos negativos tedioso ,engorroso y esto lo relacionan con el  diseño de la interfaz. Reconocen dificultades en el diseño de información jerarquías,  localización de la información, recursos concretos como la mensajería, la descarga o  publicación de archivos. Además, la carencia de un buscador general complejiza la",448,"como conclusión, podemos concluir",2
123959198.txt,RES,"equipo y la comunicación asertiva en los estudiantes del primer año de la Facultad de  Educación de la Universidad Nacional Federico Villarreal- 2019, quedó demostrada con una  correlación alta y con un valor  0,447 Correlación positiva débil; y una significancia de  p0,000, que es menor de 0, 05.  6.1. Los resultados estadísticos señalan que existe relación significativa entre el aprendizaje  cooperativo y la comunicación asertiva en los estudiantes del primer año de la Facultad de  Educación de la Universidad Nacional Federico Villarreal- 2019, con un valor  0,465; y  6.2. Los resultados estadísticos señalan que existe relación significativa entre la  interdependencia positiva y la comunicación asertiva en los estudiantes del primer año de  la Facultad de Educación de la Universidad Nacional Federico Villarreal- 2019, con un  valor  0,397; y una significancia de p0,000.  6.3. Los resultados estadísticos señalan que existe relación significativa entre la  responsabilidad individual y de equipo y la comunicación asertiva en los estudiantes del  primer año de la Facultad de Educación de la Universidad Nacional Federico Villarreal-  2019, con un valor  0,326; y una significancia de p0,000.  6.4. Los resultados estadísticos señalan que existe relación significativa entre la integración  estimuladora y la comunicación asertiva en los estudiantes del primer año de la Facultad  de Educación de la Universidad Nacional Federico Villarreal- 2019, con un valor  0,445;  y una significancia de p0,000.  6.4. Los resultados estadísticos señalan que existe relación significativa entre la gestión interna  de equipo y la comunicación asertiva en los estudiantes del primer año de la Facultad de  Educación de la Universidad Nacional Federico Villarreal- 2019, con un valor  0,447; y  7.1. Que la Facultad de Educación de la Universidad Nacional Federico Villarreal, capacite a  sus docentes de las diferentes Escuelas Profesionales en estrategias, como el aprendizaje  cooperativo y la comunicación asertiva de acuerdo al Modelo Socioformativo- Humanista,  con la finalidad de elevar las competencias de los docentes que se verán reflejadas en la  formación de los estudiantes, que son los futuros profesionales, y deben de estar dotados  de competencias generales, específicas y operativas que les permitan afrontar los  diferentes retos de una sociedad cambiante.  7.2. Que la Facultad de Educación de la Universidad Nacional Federico Villarreal, considere  como un eje transversal en la formación profesional el aprendizaje cooperativo, en el cual  los estudiantes trabajen en función de metas claras y que cada uno de los integrantes  promueva el cumplimiento de los objetivos.  7.3. Que la Facultad de Educación de la Universidad Nacional Federico Villarreal considere  como un eje transversal en la formación profesional el desarrollo de valores como son la  puntualidad, responsabilidad al asumir diferentes roles asignados en los diferentes equipos  de trabajo y lograr los objetivos planificados en el tiempo oportuno.",447,"correlación positiva, resultados",6
123959198.txt,LIM,"estadísticos señalan que existe relación significativa entre la gestión interna de equipo y la  comunicación asertiva en los estudiantes del primer año de la Facultad de Educación de la  Universidad Nacional Federico Villarreal- 2019, con un valor  0,447; y una significancia de  Palabras clave: Aprendizaje cooperativo, comunicación asertiva, interdependencia  Le educación es un derecho que tiene todo ser humano, y es considerado como  importante para todos los países del mundo. Es una de las razones fundamentales por la que  todos los gobiernos del planeta, ponen énfasis.  En nuestro país los cambios se han venido dando en forma paulatina, tuvo sus orígenes  a finales del siglo pasado, y recién en la presente década toma importancia la educación  universitaria, a través de SUNEDU, que es el órgano responsable de asegurar los estándares  mínimos que debe tener toda universidad y así garantizar una educación de calidad. Lo cual ha  significado que todas las universidades del país adecuen sus planes curriculares a los modelos  Si bien es cierto ya se dio esta primera parte, ahora se debe poner énfasis en la  capacitación a los docentes de acuerdo a las estrategias que comprende el modelo. Tal es el  caso de la Universidad Nacional Federico Villarreal, donde se ha llevado a cabo la presente  investigación; específicamente en la Facultad de Educación, que observamos aún está en  proceso, razón por la cual los resultados de la presente investigación serán importantes a fin de  que las autoridades tomen conocimiento y se tomen las medidas adecuadas con la finalidad de  En nuestro país se han dado cambios significativos a partir de las dos últimas décadas  se viene laborando con nuevas técnicas y estrategias participativas, desde la educación básica,  excepto algunas las instituciones educativas que sólo se dedican a formar estudiantes para  prepararlos para el ingreso a la universidad. En estos casos les falta competencias y habilidades  sociales, notándose un poco de individualismo al realizar las tareas en equipo, falta de  integración y poca comunicación asertiva.  Es una de las razones fundamentales por las que nos lleva a realizar la investigación  tanto del aprendizaje cooperativo y su relación con la comunicación asertiva.  Si en las aulas universitarias no se considera estos elementos anteriormente descritos,  pues seguirán persistiendo, lo que más adelante redundará en el profesional, observándose la  falta de desarrollo de estas competencias.  La presente investigación, nos permitirá conocer el estado actual tanto del aprendizaje  cooperativo y la comunicación asertiva de los estudiantes del primer año de la Facultad de  Educación, con la finalidad de resomendar y o sugerir alternativas de solución que permitan  elevar la calidad del servicio que presta la Facultad de Educación de la Universidad Nacional",439,falta de,2
123959198.txt,INTRO,"año de bachillerato general unificado de la sección diurna del Colegio fiscal Cantón  Archidona. Para la investigación se utilizó el método Inductivo - Deductivo basándose en un  enfoque cuali - cuantitativo; lo que posibilitó que los datos obtenidos de las encuestas  realizadas con un cuestionario estructurado, tanto a estudiantes como profesores sean  analizados en forma clara y precisa, así como el método Analítico-Sintético que estudia los  hechos, partiendo de una realidad conocida que es la aplicación de aprendizajes cooperativos  y se trató de observar la influencia que ejerce esta técnica en el desarrollo de los trabajos de  los alumnos en relación a su rendimiento escolar. En base al análisis estadístico se finaliza el  trabajo concluyendo que el aprendizaje cooperativo no es de uso frecuente ni ejecutado en  forma correcta por los docentes de la institución, además que el aprendizaje cooperativo  influye en el rendimiento académico de los estudiantes del colegio fiscal Cantón Archidona  1.5. Justificación de la investigación:  Justificación Teórica: Ambos temas son importantes actualmente, ya que cuando  hablamos de aprendizaje cooperativo, nos referimos a una técnica que permite al estudiante  lograr aprendizajes significativos. Asimismo, hablar de comunicación asertiva en estudiantes  y futuros maestros es necesario ya que permite ser un profesional exitoso.  Justificación Práctica: A través de esta investigación nos permitió saber qué relación  existe entre el aprendizaje cooperativo y la comunicación asertiva en los estudiantes del  primer año de la Facultad de Educación de la Universidad Nacional Federico Villarreal- 2019,  con la finalidad de conocer el estado actual de las variables de estudio. Que nos permitió  recomendar, sugerir o plantear un plan de innovación.  Justificación metodológica: El presente trabajo se aplicó el enfoque cuantitativo y el  tipo de investigación no experimental, ya que nos e manipuló ninguna variable.  Cabe recalcar que el trabajo de investigación es viable, porque se cuenta con el apoyo  académico, para llevar a cabo las encuestas, así mismo es relevante por ser temas de actualidad.  1.6. Limitaciones de la investigación  - Tiempo: La falta de celeridad en los trámites administrativos, por parte de la universidad.  - Espacial: Si bien es cierto que por razones económicas tomamos un sólo año de estudios,  y no se puede generalizar los resultados para toda la universidad; sin embargo, los  resultados son de importancia para la Facultad de Educación.  - Recursos: La falta de financiamiento, para llevar a cabo investigaciones, por parte del  Determinar la relación que existe entre el aprendizaje cooperativo y la comunicación  asertiva en los estudiantes del primer año de la Facultad de Educación de la Universidad   Identificar la relación que existe entre la interdependencia positiva y la comunicación  asertiva en los estudiantes del primer año de la Facultad de Educación de la Universidad",448,justificación,4
