source_file,source_path,category,keywords,key_phrases,snippet,confidence
10059003.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,"imposibilidad, restricciones",factores de reducción,"Ante la imposibilidad de usar este u otro método para obtener las características necesarias de nuestro geotextil o geomalla tensión, módulo y deformación para su uso en un aparcamiento, se debe realizar un estudio propio. [...] posiblemente porque este método está pensado para materiales de agregado con cohesión, mientras que nuestra base no la tiene.",medium
10086651.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,"tabú social, obviada, tradicionalmente, reticentes",falta de tratamiento,"En ocasiones la educación afectivo-sexual se ha visto obviada en la etapa de Educación Infantil, debido al tabú social que tradicionalmente ha supuesto que en ciertas edades se trabajasen aspectos relacionados con el sexo y la sexualidad. A su vez, se destacan aquellas investigaciones que constatan la introducción progresiva de prácticas coeducativas en los centros de Educación Infantil, aunque valoran que su traslación a las aulas se realiza de forma poco coordinada y, tiende a recaer en la iniciativa personal de cada docente o, se reduce a días simbólicos o incluso, los centros se muestran reticentes a la inclusión de planes coeducativos.",high
10854821.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,"sistema de educación, no prepara, brecha",nuestro sistema de educación no prepara para esto; menos aún los estudios superiores en ingeniería; esa brecha debería acortarse,"Pero si algo es claro, es que nuestro sistema de educación no prepara para esto, y menos aún los estudios superiores en ingeniería, donde las reglas, ecuaciones y métodos predefinidos son muy frecuentes... En este camino las empresas de nivel mundial llevan la delantera, y esa brecha debería acortarse",high
10884259.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,,escasez presupuestaria; falta de continuidad; rotación entre institutos; recursos limitados,"Por el otro, surgió escasez presupuestaria, y apoyar el emprendimiento en la institución era cada vez y con razón más difícil. No teníamos recursos o equipo propio en línea con lo narrado también por Nwekeaku, 2013, todo fue prestado por diversas instancias de la Universidad, quienes muy amablemente y brindándome su confianza, siempre me recibieron con mucha atención y disponibilidad.",high
11002257.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,línea base,se requiere de mayor información de línea base,"Resaltamos el Caño Brisas y la Ciénaga de San Francisco como dos ecosistemas con atributos naturales en buen estado de conservación, dado el número significativo de especies registrados, sin embargo, se requiere de mayor información de línea base con el fin de proponer estas zonas como áreas estrictas de conservación y manejo.",medium
11367249.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,,dificultades para reunirse; inexistencia de franjas horarias,"El profesorado tiene dificultades para reunirse y se culpabiliza en muchas ocasiones por no hacerlo. Hay que destacar la inexistencia de franjas horarias donde poder reunirse. Siempre habrá que hacerlo utilizando el tiempo libre o las tardes. La proyección hacia fuera de nuestro centro ha sido buena, sin embargo algunos profesores indican que la exposición, dado el enorme trabajo realizado se ha visitado por debajo de sus expectativas.",medium
11442159.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,,,"Sería muy interesante poder disponer para el establecimiento de los valores umbrales además de la prevalencia de la alergia para cada uno de los taxones, información sobre la sintomatología alérgica de los pacientes sensibles.",medium
11565384.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,"resistencia, escepticismo, silencio, rechazo",negativas taxativas; falta de referencias,"Ha existido una especie de resistencia o de escepticismo en admitir que desde su nacimiento, y especialmente desde su popularización, el cine influyera en la evolución de las artes plásticas. Y, a pesar de estas concordancias de preocupaciones entre plástica y cinematografía, comprobamos que tanto cubistas como futuristas no se refirieron a esta influencia y en todo caso hicieron declaraciones para rechazar que tuvieran deuda alguna con el nuevo lenguaje de la imagen en movimiento.",medium
11644439.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,,número limitado; multijugador local; traducción al castellano quedará excluida; limitar el espacio de la música,"En este trabajo no se prototiparán todos los niveles o modalidades planteadas en la preproducción del proyecto, sino un número limitado en función del avance realizado según el plan de trabajo y las dificultades u obstáculos que puedan surgir durante el proyecto. De llegarse a prototipar la modalidad multijugador, se realizará un multijugador local, es decir, jugable desde un solo dispositivo.",high
11744982.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,LIM,"incompatible, subsidiario, restricción",disponibilidad presupuestaria,"Debido al carácter subsidiario del Plan Propio de Investigación, el disfrute de estos proyectos será incompatible con la obtención del Programa Ramón y Cajal. En este caso, el beneficiario estará obligado a la aceptación del contrato Ramón y Cajal, cesando automáticamente la financiación del proyecto. El número de proyectos concedidos anualmente dependerá de la disponibilidad presupuestaria",high
