source_file,source_path,category,keywords,key_phrases,snippet,confidence
10059003.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"antecedentes, objetivos, principal finalidad, presente trabajo, introducción",El presente trabajo de fin de grado se encuadra en los TFG de finalización del grado en Ingeniería Civil; La principal finalidad de este TFG es analizar las aplicaciones de refuerzo de firmes con geosintéticos; los objetivos particulares son los siguientes,"El presente trabajo de fin de grado se encuadra en los TFG de finalización del grado en Ingeniería Civil, Mención de Construcción Civil. [...] 1.2. OBJETIVOS La principal finalidad de este TFG es analizar las aplicaciones de refuerzo de firmes con geosintéticos, estudiando el caso práctico del aparcamiento de firmes permeables del parque de las Llamas. Los objetivos particulares son los siguientes: Repasar las principales características de los geosintéticos. Analizar la aplicación de los geosintéticos en los refuerzos de carreteras. Diagnosticar el estado actual del área seleccionada como caso práctico. Plantear y calcular distintas alternativas de refuerzo. Seleccionar, discutir y concluir.",high
10086651.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"problema, investigación, objetivos, la importancia de, analizar, abordar",A lo largo de este Trabajo de Fin de Grado trataré sobre la importancia de;  bajo una perspectiva sobre una educación en la que; Abordar los conceptos básicos sobre la diversidad afectivo-sexual; Cuestionar los estereotipos de género; Analizar el entramado de la desigualdad de género; Plantear estrategias para comprender y abrazar la diversidad," A lo largo de este Trabajo de Fin de Grado trataré sobre la importancia de que nuestro alumnado reciba una educación en términos de igualdad real, desde un modelo de escuela coeducativa y, bajo una perspectiva sobre una educación en la que la diversidad afectivo-sexual se incluya en el currículum de forma integral. De manera que, nuestro alumnado disponga de un entorno rico y plural en el que poder desarrollarse como individuos en libertad. Bien es cierto que, hemos progresado mucho hacia una escuela cada vez más abierta a la diversidad y a su aceptación. Por ello, se han suprimido los aspectos discriminatorios más evidentes recogidos en el currículum explícito, que hace referencia a los documentos oficiales del centro; como el proyecto educativo o las programaciones de aula. Uno de los ejemplos más visibles alude a la incorporación de la mujer al ámbito educativo, así como su reconocimiento e inclusión en el currículum Franco, 2018. A pesar de ello, en numerosas ocasiones la práctica docente se ve absorta en un ambiente lleno de incongruencias respecto al currículum explícito. Por ello, cabe resaltar la importancia del currículum oculto, entendido como el conjunto de normas, costumbres, creencias, lenguajes y símbolos transmitidos de forma inconsciente o implícita en la realidad de aula Acevedo, 2010. Por tanto, es fundamental atender a ambos currículums, dado que dentro del currículum oculto se recogen los tratos diferenciados según el género, la invisibilización femenina en el currículum, los estereotipos sexuales",high
10344629.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"estudio se enfoca en los avances, presente trabajo de investigación, realizar un análisis, introducción",Este estudio se enfoca en los avances que han tenido desde sus comienzos las Cooperativa de Caficultores; La importancia que tiene el presente trabajo de investigación radica en el avance significativo; El trabajo a presentarse busca realizar un análisis de la Cooperativa de Caficultores del Magdalena Ltda.,"Este estudio se enfoca en los avances que han tenido desde sus comienzos las Cooperativa de Caficultores, su organización, su estructura operativa, las desventajas que se han venido presentando en los últimos años debido a la competencia, la disminución de los cultivos, poca tecnificación, uso o apropiado de las tierras y del agua. La importancia que tiene el presente trabajo de investigación radica en el avance significativo que puede presentar para los estudios en el campo financiero y la aplicación práctica en el área financiera de la Cooperativa de Caficultores del Magdalena Ltda.",high
107294272.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,el siguiente es un trabajo,"El siguiente es un trabajo acerca de mi propia experiencia en la cursada de Filosofía y Epistemología de la Educación Física; tengo una discapacidad visual, desde hace 26 años; sin que por esto vaya en desmedro de mis posibilidades motrices, educativas, sociales","El siguiente es un trabajo acerca de mi propia experiencia en la cursada de Filosofía y Epistemología de la Educación Física, del profesorado de Educación Física de la UNCo. Es decir es el pensar acerca de las formas que un saber se torna posible; según las matrices normativas internalizadas de comportamiento sociocultural, y en relación también a los modos de existencia posibles, para subjetividades que buscan trascender dichas normativas y límites socioculturales.",high
10854821.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"innovación, en este artículo, intentaremos acercarnos, solución de problemas",En este artículo intentaremos acercarnos a la solución de problemas con innovación,"la velocidad del mundo actual trae múltiples desafíos a las empresas, y una manera de sobrevivir en este ambiente de cambios es la innovación, para lo cual se requiere de la creatividad como herramienta clave... En este artículo intentaremos acercarnos a la solución de problemas con innovación partiendo de su origen, la innovación, de la que surge la creatividad como insumo principal",high
108649676.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"Trabajo de Fin de Grado, objetivos, conocimientos",El objeto principal de este Trabajo de Fin de Grado; aplicar de manera práctica los conocimientos y técnicas; establecer un correcto protocolo de manera individualizada,"El objeto principal de este Trabajo de Fin de Grado es aplicar de manera práctica los conocimientos y técnicas que se nos han transmitido durante los últimos cinco años del Grado en los distintos ámbitos de la odontología. 
El objetivo académico es adquirir la destreza para saber emplear y filtrar las herramientas de búsqueda de información en las distintas bases científicas como base para un desarrollo continuo de nuestro aprendizaje, con el compromiso de establecer un criterio propio y actual a lo largo de toda nuestra trayectoria profesional. 
Respecto a los objetivos clínicos, será fundamental establecer un correcto protocolo de manera individualizada de diagnóstico, pronóstico y planificación de tratamientos, válido para los distintos ámbitos de la odontología, así como específicamente para pacientes bajo tratamiento de bifosfonatos, estudiando las posibles opciones terapéuticas actuales, apoyándonos en una revisión bibliográfica actualizada, con el compromiso de rehabilitar la función, estética y salud de su cavidad oral. ",high
10884259.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,presente artículo aborda,El presente artículo aborda desde este método las experiencias de dos maestros,"El presente artículo aborda desde este método las experiencias de dos maestros Montiel Rodríguez, 2016 al realizar la gestión y ser miembros de una academia transversal enfocada al emprendimiento, y narra sus vivencias al impulsarlo como motor del cambio de paradigma de una Universidad pública en México, revisitándolo ahora desde una generalización analítica según lo sugerido por Chang 2008.",high
10887978.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"este trabajo, se propone discutir, el estudio, analizaremos, caso que analizaremos",Este trabajo se propone discutir cómo la antropología audiovisual; el estudio de las fotografías etnográficas permite comprender el rol que cumplen; El caso que analizaremos es el de la sociedad Yá-manaYagán,"Este trabajo se propone discutir cómo la antropología audiovisual y, específicamente, el estudio de las fotografías etnográficas permite comprender el rol que cumplen los adornos corporales usados por los pueblos indígenas en la construcción y regulación de roles de género Claassen, 1992; Conkey y Gero, 1991; Butler, 2004. El caso que analizaremos es el de la sociedad Yá-manaYagán, cuyo territorio ancestral3 abarca el sur del archipiélago de Tierra 3 Existen documentos que demuestran que el nombre yagán fue adoptado por esta sociedad a fines del 69Ana Butto, Danae Fiore.",high
11090503.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"habremos de dilucidar, a lo largo del recorrido de este texto",Por distintas razones que habremos de dilucidar a lo largo del recorrido de este texto,"La palabra antigua está especialmente dirigida hacia nuestro tiempo porque, según intentaremos mostrar, no sólo todavía tiene algo que decirnos a nosotros, los más modernos entre los modernos, sino que también y, fundamentalmente, nuestra civilización todavía habla dentro de los límites del logos propuesto por esta palabra original. Por distintas razones que habremos de dilucidar a lo largo del recorrido de este texto, hemos sido todavía incapaces de, verdaderamente, lograr ir más allá del ámbito que esta demarcación discursiva primigenia ha trazado para el pensamiento, la ética, la política y la economía.",high
112493810.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO,"la presente investigación, en el estudio es importante, motivación",La presente investigación se enmarca en observar el estado nutricional y cronotipo en escolares; no contamos con investigaciones de ésta índole en nuestra población peruana; tiene como objetivo Determinar la relación entre estado nutricional según índice de masa corporal para la edad IMCE y el cronotipo,"La presente investigación se enmarca en observar el estado nutricional y cronotipo en 
escolares de la provincia de Jauja. En el estudio es importante considerar estas dos 
variables, ya que según estudios hay una relación simbólica entre el crecimiento y 
desarrollo de los niños y adolescentes con las horas de sueño que realizan a diario, sin 
embargo no contamos con investigaciones de ésta índole en nuestra población peruana, 
es por ello que ante la duda de conocer la certeza de dichas investigaciones en nuestra 
población, decidimos realizarla en una población estudiantil de la provincia de Jauja con 
el tema de cronotipo en relación al estado nutricional y así contribuir al conocimiento de 
estos temas que pueden llegar a ser de impacto en nuestra carrera y poder brindar un mejor 
servicio a la sociedad al momento de realizar la consejería nutricional. ",high
112774383.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core,INTRO," pregunta general, objetivo general, hipótesis",La diplomacia cultural como herramienta de política exterior toma en cuenta las características representativas de un país; Cuáles son las acciones de diplomacia cultural ejercidas desde el Instituto Cultural Mexicano; Esta investigación tiene como objetivo general identificar las acciones de diplomacia cultural; La hipótesis bajo la cual se aborda este tema es que,"La diplomacia cultural como herramienta de política exterior toma en cuenta las características representativas de un país, la identidad nacional, los valores, las tradiciones, el arte, entre otros, para volverlas un instrumento útil que permita al gobierno crear una mejor imagen del Estado tanto a nivel nacional como internacional Villanueva, 2008. La cultura, los ideales políticos y las políticas públicas que componen la diplomacia cultural obedecen a dos fines, aquellos que son tangibles protocolos formales de negociación o cuerdos y aquellos que son sustantivos. Los sustantivos, a diferencia de los formales, hacen hincapié en los juicios de valor, la promoción de la cultura nacional, los valores, la educación, etc., lo que se concreta a través del uso del poder suave de un país López, 2017. Por ello la diplomacia cultural es una herramienta importante de política exterior, que no sólo permite crear una imagen favorable de un Estado, sino que, además, genera acuerdos de diversos niveles, lo que repercute en mejoras para un país. Una imagen adecuada del país se traduce en características que a nivel interno permiten una gobernabilidad eficaz, mientras que a nivel exterior sirven para mejorar la reputación Villanueva, 2019. ",high
