category,confidence,key_phrases,keywords,snippet,source_file,source_path
CONC,high,"una transformación cultural; productos software de calidad de acuerdo con los requisitos; la transformación digital; como: integración continua; , entrega continua","devops, entrega, software, práctica, prácticas, continuo, continua, tiempo","dicho cambio implica una transformación cultural en la organización de la mano de las capacidades de DevOps eliminando silos y cerrando brechas, agilizando el desarrollo de software, apoyándose en prácticas de automatización, integración, despliegue y entrega continua, que permita reducir tiempos y errores para la entrega de productos software de calidad de acuerdo con los requisitos. DevOps es el motor en la transformación digital, mediante una cultura de trabajo que logra el compromiso en toda la organización, no solo son prácticas sino que se apoya en otros movimientos como LEAN, como aspectos claves propone prácticas como: integración continua, entrega continua, despliegue continuo, automatización y monitoreo para obtener métricas para la evaluación del desempeño en la entrega de software, lo que permite reducción en la tasa de fallos, reducción de tiempos de implementación. Adoptar DevOps trae consigo muchos beneficios a la empresa y permite reducir el time to market en la entrega de productos y servicios software, el cambio cultura, el trabajo colaborativo es preponderante al crear sinergias y mejorar la comunicación entre los equipos, se logrará eficiencia en el buen uso de los recursos por ende reducción de costos y tiempos en desarrollo, con productos software con la calidad y seguridad, y con la visibilidad y métricas para saber la salud de las aplicaciones en todo momento. DevOps es básicamente un movimiento organizativo y cultural cuyo principal objetivo es agilizar la entrega de software cumpliendo los requisitos de seguridad, calidad esperada. Se constituyen como capacidades de ingeniería de DevOps a principios y prácticas que conducen a la entrega de valor al cliente; los principios conocidos como las tres vías, permiten describir los valores y filosofías que guían los procesos y prácticas de DevOps; los pilares constituyen una clasificación de las prácticas de ingeniería de DevOps, que se pueden aplicar fácilmente al diseñar implementaciones de DevOps.",103759022.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,tratamiento quirúrgico; turf toe; distintas afectaciones; o diversas lesiones asociadas; los tratamientos conservadores,"tratamiento, turf, tener, patrón, forma, tratamientos, establecer, lesión","Había bastante controversia a la hora de establecer un patrón de tratamiento quirúrgico, ya que las lesiones en turf toe pueden tener distintas afectaciones dentro de la placa plantar o diversas lesiones asociadas, y por ello existen multitud de tratamientos, por lo que nos hemos limitado a hablar de sus indicaciones. Ha sido encontrada mucha disparidad en los tratamientos conservadores: había tratamientos que no se describían, simplemente se nombraban, otros que no especificaban y dejaban de forma muy ambigua un gran abanico de interpretaciones que podría tener y que hemos intentado agrupar de la forma más coherente posible. 30 5. Conclusión La clasificación en esta lesión se basa en hallazgos clínicos, que es en lo que me he centrado en intentar establecer en esta revisión y complementario a esto en estudios de imagen, el cual ha sido uno de nuestros objetivos secundarios. El pronto diagnóstico de la lesión e identificación del grado es crucial para el consecutivo tratamiento, y es importante tener claro los patrones que siguen cada grado, para poder establecer las pautas correctas de terapia. Con esta revisión hemos podido comprobar que, aunque no todos los autores usen la misma clasificación para el turf toe, estas difieren en pequeños detalles, la clínica es prácticamente igual en casi todas, de igual forma con los tratamientos y el diagnóstico por imagen y la exploración física, que siguen el mismo patrón en todas las clasificaciones, diferenciándose unos de otros quizás en que algunos puedan tener en algún grado específico una prueba o terapia alternativa a otros o por la ampliación al describir el tratamiento, prueba o hallazgo en imágenes. Nosotros proponemos una expansión del concepto del turf toe a través de más estudios experimentales.",107292875.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,"discapacidad intelectual; hospitales psiquiátricos; términos despectivos; nuestros defectos como: discapacitados, anormales, inválidos, invidentes, no videntes; distintas maneras","discapacidad, persona, personas, cosa, además, generación, mismas, demás","Además de que me encantaría poder demostrarle a la sociedad que las personas con discapacidad, ante todo son personas y que podemos hacer las mismas cosas que cualquier otra persona sin discapacidad y que ya no sirve de nada ocultarnos como antiguamente se hacía con algunas personas con discapacidad intelectual en hospitales psiquiátricos, estigmatizarnos negándonos como sujetos usando términos despectivos o que se focalizan en nuestros defectos como: discapacitados, anormales, inválidos, invidentes, no videntes, etc. , ignorarnos, como en el caso de algunas personas con discapacidad que no reconocen que la tienen o que la misma familia no quiere reconocer, limitarnos al decir que no podemos hacer las mismas cosas que los demás o discriminarnos. Vamos a seguir luchando por nuestros derechos y obligaciones, así como enseñarles a las nuevas generaciones a no discriminar bajo ningún punto de vista y que no se puede utilizar el mismo criterio de examen con todas las personas, dándoles, dentro de lo posible la mayor libertad de elegir cómo quieren ser evaluados o dando un gran abanico de formas de examen para así asegurar de que todes tengan las mismas oportunidades y acceso a los saberes, ya que más allá de que se tenga o no algún tipo de discapacidad, todes aprendemos de distintas maneras y además ayudaría a estas nuevas generaciones a descubrir yo desarrollar sus fortalezas cognitivas y socio comunicativas. Igualmente pienso que la forma de utilizar la vigilancia, como docente, debería ser para observar las interacciones de los estudiantes e intervenir cuando haya conductas violentas u ofensivas con sus demás compañeros, pero sin castigar, además de investigar la causa de esas conductas, ya que considero que no se debe juzgar sin conocer a las demás personas primero.",107294272.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,la figura delde; la pianista acompañante; artículos muy breves y meramente descriptivos; la tesis realizada por vallés 2015 basada en la realización de una propuesta de currículo para la formación de loslas alumnosas que quieran ser futuros as pianistas acompañantes; problemas existentes,"investigación, españa, carencia, estudios, distintas, artes, estudio, relacionado","En España, además, los estudios de investigación relacionados con la figura delde la pianista acompañante quedan reducidos a artículos muy breves y meramente descriptivos que ni siquiera ahondan en esta carencia. Como excepción, está la tesis realizada por Vallés 2015 basada en la realización de una propuesta de currículo para la formación de loslas alumnosas que quieran ser futuros as pianistas acompañantes. Sin embargo, aún queda mucho trabajo por realizar en este ámbito puesto que el resto de problemas existentes aún no han sido abordados desde las distintas perspectivas. Por todo ello, bajo mi punto de vista es de la máxima necesidad realizar un trabajo de investigación más extenso y en profundidad. No sólo en lo relacionado con las carencias de formación de estosas profesionales como acompañantes, sino también, y no con menor grado de importancia, como maestros. Una revisión de los conocimientos pedagógicos y herramientas que estosas docentes poseen y la existencia o carencia de ella y grado de eficacia de las distintas estrategias metodológicas aplicadas en sus aulas. Urge ahondar en el conocimiento de toda esta problemática con el fin de encontrar soluciones y alternativas a los obstáculos que en la actualidad están perjudicando a todo un colectivo docente y, en consecuencia, contribuyendo al detrimento de la calidad educativa de loslas estudiantes de las distintas especialidades de Música, Danza y Arte Dramático en España. Más aún si tenemos en cuenta los grandes avances que ha experimentando la pedagogía a nivel de la educación general y los beneficios que la investigación performativa en el ámbito de las artes aporta en este tipo de estudios. Número 11 Enero 2017 Investigación 103Revista de Estudios en Sociedad, Artes y Gestión Cultural www.",107420336.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,"metal porcelana; prótesis parcial; base metálica; el pronóstico individualizado; , excepto los dos siguientes casos","tratamiento, plan, sesión, prótesis, pronóstico, implantes, implant, diente","F. PRONÓSTICO El pronóstico se valora mediante el pronóstico individualizado de la Universidad de Berna41. Todos los dientes son considerados con buen pronóstico, tanto periodontal, endodóntico y dental, excepto los dos siguientes casos: El 3.8 se considera como preferente de exodoncia debido a que se trata de un tercer molar sin colusión no funcional. El 2.7 se considera como diente no mantenible siendo un segundo molar con profundidad de sondaje superior a 6mm. por distal del primer molar, alcanzando cifras de 9 mm por palatino. Rehabilitación oral multidisciplinar de pacientes en tratamiento con bifosfonatos: A propósito de dos casos 24 G. PLAN DE TRATAMIENTO Plan de tratamiento 1 I. Elevación sinusal e implantes en 2.4 y 2.6 II. Colocación de implantes en 3.5, 3.6 y 4.6 III. Prótesis fija de metal porcelana en sector anterosuperior Plan de tratamiento 2 I. Prótesis fija de metal porcelana en sector anterosuperior II. Prótesis parcial removible de base metálica en el segundo cuadrante III. Prótesis parcial removible de base metálica inferior para tercer y cuarto cuadrante La opción elegida fue el plan de tratamiento 1. Anexo X Fase de control de la infección Fase restauradora Sesión 1: Explicar plan de tratamiento y presupuesto, entrega y firma consentimientos informados Anexo XXI - Tartrectomía IHO Solicitud TAC Profilaxis Antibiótica bifosfonatos. Sondaje implantes. Anexo XX Sesión 7: Elevación sinusal atraumática y colocación de implantes en 2.4 y 2.6 Sesión 2: Anexos XIX, XXI Exodoncia dientes no mantenibles 2.7 y 3.8 Sesión 8: Retirada de sutura Sesión 3: Raspado y alisado radicular arcada superior.",108649676.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,la actividad turística; presente trabajo; los principales enfoques existentes; acerca de la relación; el marco actual,"turismo, desarrollo, epígrafe, contribución, principal, principales, enfoque, mexicano","En el primer epígrafe del presente trabajo se plantea una revisión de los principales enfoques existentes acerca de la relación entre turismo y desarrollo, adaptada a la situación de los PVD en el marco actual de creciente globalización. A continuación, en el segundo epígrafe, se analiza el caso particular de México, a partir de la evolución y características del turismo en el país durante los últimos cincuenta años. Este recorrido a través de las modalidades de crecimiento de la actividad turística es el que permite determinar los elementos clave que explican la situación actual del turismo mexicano. El tercer epígrafe expone la contribución de la actividad turística a la economía mexicana a partir de sus principales impactos. Finalmente, y partiendo de la experiencia mexicana, el objetivo último del trabajo es el de obtener conclusiones y recomendaciones prácticas para el conjunto de los PVD que pretenden cimentar sus procesos de desarrollo mediante el turismo. I. Turismo y desarrollo: Revisión de los principales enfoques La relevancia del turismo en términos económicos está fuera de discusión entre los investigadores de turismo: existe consenso en cuanto a la elevada contribución del turismo al crecimiento económico de las regiones receptoras. No obstante, dicha unanimidad no tiene lugar cuando lo que se discute es la su contribución al desarrollo. Por el contrario, el papel del turismo ha sido objeto de fuertes controversias entre aquéllos que lo consideran un factor de desarrollo, que constituyen la que podríamos denominar visión convencional, y aquéllos otros para los que significa una nueva forma de explotación, de neocolonialismo, que constituirían a su vez la visión crítica. Este debate sobre el papel del turismo fue muy intenso en los años setenta y ochenta, y se enmarcaba dentro de la discusión más amplia de modernización versus dependencia en relación con la teoría del desarrollo Clancy, M. J. , 1999: o El enfoque de la modernización plantea el desarrollo como un proceso lineal, de modo que los países subdesarrollados estarían dentro de un proceso de transformaciones desde una economía tradicional hacia una moderna, siendo estas aproximaciones consistentes con la ideas del liberalismo económico.",67807357.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,"los resultados obtenidos en el presente estudio; los trabajos citados en la sección dedicada a la revisión de literatura; una cantidad parecida; parques urbanos; como sepúlveda 2008 1,60 o xolocotzi 2014 2,38","sevilla, estudio, obtenido, trabajo, cantidad, media, obtenida, sido","El número de respuestas protesta puede depender de la situación político-económica que esté pasando ese territorio en el momento de la realización del estudio. Los resultados obtenidos en el presente estudio están en la línea de los reflejados en los trabajos citados en la sección dedicada a la revisión de literatura. La DAP media obtenida ha sido de 2,55 por visita. Una cantidad parecida a la recogida por otros estudios de parques urbanos como Sepúlveda 2008 1,60 o Xolocotzi 2014 2,38. A su vez es una cantidad significativamente inferior a la obtenida por otros autores cuyo objeto de estudio han sido Parques Naturales, destacando los de García de la fuente y Colina 2004, que obtuvo una DAP media de 7,47 por persona, o el trabajo de Oviedo et al. 2005, cuya DAP media fue de 11,03. 18 P á g i n a El Parque de María Luisa es un bien público de libre acceso, y cuya valoración económica es de una importancia vital para la gestión del mismo. Este trabajo ha posibilitado obtener una valoración de la disposición a pagar de una muestra de visitantes del parque, lo que ofrece información muy valiosa para los gestores municipales sobre la posibilidad de establecer una contribución voluntaria y obligatoria en forma de entrada para garantizar la disposición de los recursos financieros necesarios para el adecuado mantenimiento de este espacio emblemático de la ciudad de Sevilla. 19 P á g i n a 6. REFERENCIAS BIBLIOGRÁFICAS ABC 26 de mayo de 2019. El PSOE anuncia nuevas zonas verdes y plantaciones masivas de árboles en Sevilla. ABC de Sevilla. Recuperado de https: sevilla. abc.",67826906.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,la lengua extranjera; el enfoque basado en tareas; herramientas multimedia; distintas lenguas; un ambiente afectivo,"lengua, alumno, alumnos, extranjero, aprendizaje, extranjera, situación, sino","Esto se ve favorecido, por un lado, por el enfoque basado en tareas, uno de cuyos presupuestos es plantear situaciones en la que los alumnos tengan que usar la lengua extranjera para transmitir información, negociar, dar opiniones, etc. En este contexto, las necesidades de aprendizaje no dependen del criterio del profesor, sino que surgen de la actividad 84 en sí. Por otro lado, nos parece que el uso de herramientas multimedia en la red añade ciertas ventajas que nos gustaría destacar: La novedad del medio actúa como un catalizador favoreciendo la motivación y la participación del alumno. Favorece la interacción y la cooperación entre alumnos de distintas lenguas y nacionalidades. Promueve un ambiente afectivo positivo. Crea una situación donde los alumnos tienen que usar la lengua extranjera, no como objeto de estudio, sino como instrumento de comunicación con hablantes nativos. Genera una técnica de enseñanza multifocal y rotativa en la que el foco de atención no es el profesor sino cada uno de los alumnos y grupos que participan en la actividad. De acuerdo con los datos que tenemos, el 70 de nuestros alumnos nunca ha estado en un país de habla inglesa y, en la mayor parte de los casos, el contacto de éstos con la lengua inglesa ha sido sólo como asignatura, y no como instrumento de comunicación. Por ello, nos parece que experiencias de este tipo, que favorezcan el contacto entre estudiantes universitarios de diferentes lenguas y nacionalidades, tienen un papel importante que jugar hoy en día en el proceso de adquisición y aprendizaje de una lengua extranjera. Bibliografía Atkinson, T. 1998. WWW. The Internet. Centre for Information on Language Teaching Research. British council. 1983. Focus on the Learner. Modem English Publications.",68195818.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,rupturas populistas; mi tercer argumento; los populismos latinoamericanos; los sectores marginados; mi cuarto argumento,"pueblo, populismo, populismos, latinoamericano, politizan, exclusión, exclusiones, argumento","Mi tercer argumento es que hay que diferenciar entre inclusión y democratización. Los populismos latinoamericanos desde el peronismo hasta el chavismo han incluido políticamente, étnicamente y socio-económicamente a los sectores marginados. Sin embargo a su vez han atentado en contra del pluralismo, han manufacturado enemigos y han cerrado espacios a la oposición. Mi cuarto argumento es que si bien los populismos comparten una lógica política no todos son iguales. Algunos politizan las exclusiones alrededor del eje mercado-estado, otros alrededor de temas culturales como la identidad del pueblo y la nación. Unos usan criterios étnicos para construir al pueblo, mientras que otros politizan las exclusiones socioeconómicas. Este capítulo tiene cuatro secciones. La primera analiza las condiciones bajo las cuales se han dado rupturas populistas. Luego se estudian las diferentes construcciones de la categoría el pueblo. La tercera sección se enfoca en las promesas redentoras del populismo. Para por último explicar las estrategias populistas de gobierno. 2. Los libros de Finchelstein 2017 y De la Torre 2017a analizan el populismo global desde las experiencias latinoamericanas. Carlos de la Torre acfs, 53 2019, 29-51 34 2. bajo qué condIcIones se dIeron rupturas populIstas? Los populismos de izquierda latinoamericanos y del sur de Europa politizan las exclusiones causadas por el neoliberalismo politizando la economía política alrededor de la oposición mercado-estado y del eje derecha-izquierda. Prometen radicalizar la democracia con mecanismos que resuelvan los déficits de participación y representación de las democracias liberales. Son una respuesta a insurrecciones masivas en contra del neoliberalismo como el caracazo, las guerras del gas y del agua en Bolivia y los indignados en España y Grecia.",68465029.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
CONC,high,"un caso particular; su componente religiosa; torno a estas operaciones; , por módicos precios; numerosos extranjeros","obra, venta, secreto, pues, estudio, comercio, ventas, caso","los mecanismos que en teoría certificaban la calidad de los aspirantes, en la práctica fueron más un trámite que un impedimento para adquirir el nuevo estatus. un caso particular fue el de los hábitos de las órdenes Militares pues su componente religiosa hacía que su venta plantease el problema del delito de simonía. esto hizo que el secreto y la ocultación en torno a estas operaciones fuesen aún mayores. las cartas de naturaleza fueron especialmente necesarias para el comercio con indias y, por módicos precios, permitieron la incorporación de numerosos extranjeros al mundo del comercio americano. la obra se cierra con dos estudios sobre la venalidad en Portugal, obra de roberta stumpf y fernanda olival. a pesar de que allí las ventas no alcanzaron las mismas dimensiones que en españa, las investigaciones de ambas autoras vienen a mostrar su existencia, si bien resulta más difícil de rastrear al producirse las transacciones en el ámbito de lo privado, pues no se produjeron campañas masivas de ventas, y los cargos que se vendieron, además de que no fueron muchos, se negociaron con el mayor secreto. la multitud de autores y temas tratados en la obra hacen de ella un referente esencial para acercarse en el futuro al estudio de la venalidad, tanto a nivel conceptual como en los casos concretos de ventas, pues quedan planteadas casi todas las aristas de este campo de investigación. resta, pues, profundizar en el tema a partir del sustancial avance que representan los estudios recogidos en este libro. Francisco Gil Martínez",68466910.txt,D:\santi\Documents\MAIA\Bimestre 2026-11\Proyecto\core\core
